deprecated,manufacturer,tyres_info,model_specifications,image_pin_url_3x,first_maintenance_mileage,fuel_distance_enabled,default_tags,fuel_type,image_small_url,registry_model,registry_manufacturer,intermediate_maintenance_mileage,image_map_url_3x,fuel_cap_side,short_name,maintenance_mileage,code,image_map_url_2x,image_pin_url_2x,image_large_url,name
False,AUDI,[],[],,,True,[],,,A6,AUDI,,,,A6,,dd887e4eff546a6c6f14824cc89a5ff2,,,,AUDI A6
False,BMW,[],[],,,True,[],,,420,BMW,,,,420,,8edafe9a6eefe2407f6be4e83fa55fdb,,,,BMW 420
False,CHEVROLET,[],[],,,True,[],,,CAMARO,CHEVROLET,,,,CAMARO,,38cb09e65189f8fe4183cd107aca47e1,,,,CHEVROLET CAMARO
False,FORD,[],[],,,True,[],,,MUSTANG,FORD,,,,MUSTANG,,c3a9b01970e98eff1cf572dec520d076,,,,FORD MUSTANG
False,HYUNDAI,[],[],,,True,[],,,ACCENT,HYUNDAI,,,,ACCENT,,b6ee3deb626a1623e484c9501b72bf25,,,,HYUNDAI ACCENT
False,HYUNDAI,[],[],,,True,[],,,CRETA,HYUNDAI,,,,CRETA,,d5fa430ba6eb9a16cbe1199a5da2b5dd,,,,HYUNDAI CRETA
False,HYUNDAI,[],[],,,True,[],,,ELANTRA,HYUNDAI,,,,ELANTRA,,88816151a3348e7fc98e11aeb43117c5,,,,HYUNDAI ELANTRA
False,HYUNDAI,[],[],,,True,[],,,H1,HYUNDAI,,,,H1,,15c0879ea5c70c220f4d19c2a9980687,,,,HYUNDAI H1
False,HYUNDAI,[],[],,,True,[],,,KONA,HYUNDAI,,,,KONA,,b86530b4b11bf70a311c636a3298af39,,,,HYUNDAI KONA
False,HYUNDAI,[],[],,,True,[],,,SANTA FE,HYUNDAI,,,,SANTA FE,,1b94c5ef12e1c450e8f111555357179d,,,,HYUNDAI SANTA FE
False,HYUNDAI,[],[],,,True,[],,,SONATA,HYUNDAI,,,,SONATA,,b215cd4af2dcdfba537f28c99f2c3922,,,,HYUNDAI SONATA
False,HYUNDAI,[],[],,,True,[],,,TUCSON,HYUNDAI,,,,TUCSON,,de864e855b6116fbb292d16236b1b5ec,,,,HYUNDAI TUCSON
False,KIA,[],[],,,True,[],,,CERATO,KIA,,,,CERATO,,95ff9e23a6a4e779e1dc9c03832ddffe,,,,KIA CERATO
False,KIA,[],[],,,True,[],,,K5,KIA,,,,K5,,f97b5ca8eba6d9561c1e7b429e7d69f1,,,,KIA K5
False,KIA,[],[],,,True,[],,,OPTIMA,KIA,,,,OPTIMA,,3643d8fb4d95b7440b83764aed3f7b40,,,,KIA OPTIMA
False,KIA,[],[],,,True,[],,,RIO,KIA,,,,RIO,,a085f88475d0e4cedef35e9979c2d0a0,,,,KIA RIO
False,KIA,[],[],,,True,[],,,SELTOS,KIA,,,,SELTOS,,fb6d0648c4c97ae2f509654ba5cbd56d,,,,KIA SELTOS
False,LEXUS,[],[],,,True,[],,,GX 460,LEXUS,,,,GX 460,,cff843a8b336576aac5a0011510d816e,,,,LEXUS GX 460
False,MAZDA,[],[],,,True,[],,,2,MAZDA,,,,2,,9dfa0eb533161c464b35f49cdda672ed,,,,MAZDA 2
False,MAZDA,[],[],,,True,[],,,3,MAZDA,,,,3,,f74f1e14c866839fe6acf51d520e1ab5,,,,MAZDA 3
False,MAZDA,[],[],,,True,[],,,6,MAZDA,,,,6,,fcf3d81774df913006f748b6c707d0ce,,,,MAZDA 6
False,MAZDA,[],[],,,True,[],,,CX5,MAZDA,,,,CX5,,830c2b793f88421ead99e4139e947161,,,,MAZDA CX5
