manufacturer,image_pin_url_3x,model_specifications,fuel_type,short_name,image_map_url_3x,maintenance_mileage,fuel_distance_enabled,registry_model,image_large_url,registry_manufacturer,intermediate_maintenance_mileage,image_map_url_2x,fuel_cap_side,image_small_url,default_tags,image_pin_url_2x,tyres_info,deprecated,first_maintenance_mileage,name,code
AUDI,,[],,A6,,,True,A6,,AUDI,,,,,[],,[],False,,AUDI A6,dd887e4eff546a6c6f14824cc89a5ff2
BMW,,[],,420,,,True,420,,BMW,,,,,[],,[],False,,BMW 420,8edafe9a6eefe2407f6be4e83fa55fdb
CHEVROLET,,[],,CAMARO,,,True,CAMARO,,CHEVROLET,,,,,[],,[],False,,CHEVROLET CAMARO,38cb09e65189f8fe4183cd107aca47e1
FORD,,[],,MUSTANG,,,True,MUSTANG,,FORD,,,,,[],,[],False,,FORD MUSTANG,c3a9b01970e98eff1cf572dec520d076
HYUNDAI,,[],,ACCENT,,,True,ACCENT,,HYUNDAI,,,,,[],,[],False,,HYUNDAI ACCENT,b6ee3deb626a1623e484c9501b72bf25
HYUNDAI,,[],,CRETA,,,True,CRETA,,HYUNDAI,,,,,[],,[],False,,HYUNDAI CRETA,d5fa430ba6eb9a16cbe1199a5da2b5dd
HYUNDAI,,[],,ELANTRA,,,True,ELANTRA,,HYUNDAI,,,,,[],,[],False,,HYUNDAI ELANTRA,88816151a3348e7fc98e11aeb43117c5
HYUNDAI,,[],,H1,,,True,H1,,HYUNDAI,,,,,[],,[],False,,HYUNDAI H1,15c0879ea5c70c220f4d19c2a9980687
HYUNDAI,,[],,KONA,,,True,KONA,,HYUNDAI,,,,,[],,[],False,,HYUNDAI KONA,b86530b4b11bf70a311c636a3298af39
HYUNDAI,,[],,SANTA FE,,,True,SANTA FE,,HYUNDAI,,,,,[],,[],False,,HYUNDAI SANTA FE,1b94c5ef12e1c450e8f111555357179d
HYUNDAI,,[],,SONATA,,,True,SONATA,,HYUNDAI,,,,,[],,[],False,,HYUNDAI SONATA,b215cd4af2dcdfba537f28c99f2c3922
HYUNDAI,,[],,TUCSON,,,True,TUCSON,,HYUNDAI,,,,,[],,[],False,,HYUNDAI TUCSON,de864e855b6116fbb292d16236b1b5ec
KIA,,[],,CERATO,,,True,CERATO,,KIA,,,,,[],,[],False,,KIA CERATO,95ff9e23a6a4e779e1dc9c03832ddffe
KIA,,[],,K5,,,True,K5,,KIA,,,,,[],,[],False,,KIA K5,f97b5ca8eba6d9561c1e7b429e7d69f1
KIA,,[],,OPTIMA,,,True,OPTIMA,,KIA,,,,,[],,[],False,,KIA OPTIMA,3643d8fb4d95b7440b83764aed3f7b40
KIA,,[],,RIO,,,True,RIO,,KIA,,,,,[],,[],False,,KIA RIO,a085f88475d0e4cedef35e9979c2d0a0
