first_maintenance_mileage,image_pin_url_2x,code,default_tags,model_specifications,maintenance_mileage,intermediate_maintenance_mileage,fuel_cap_side,registry_manufacturer,fuel_distance_enabled,deprecated,image_pin_url_3x,registry_model,short_name,image_map_url_2x,name,fuel_type,image_large_url,image_small_url,manufacturer,image_map_url_3x,tyres_info
,,e987fa969f1b335ec6ec02ed724cb7f2,[],"[{'name': 'FuelTankVolume', 'value_localized': '45 model.specification.FuelTankVolume.unit(0)', 'value': '45', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 45, 'id': 'e987fa969f1b335ec6ec02ed724cb7f2_FuelTankVolume'}]",,,,AUDI,True,False,,A3,A3,,AUDI A3,,,,AUDI,,[]
,,938c288068d56305bd1bae356a862c74,[],"[{'name': 'FuelTankVolume', 'value_localized': '50 model.specification.FuelTankVolume.unit(0)', 'value': '50', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 50, 'id': '938c288068d56305bd1bae356a862c74_FuelTankVolume'}]",,,,AUDI,True,False,,A6,A6,,AUDI A6,,,,AUDI,,[]
,,848d2978875e03acab969cc6ea8028a1,[],"[{'name': 'FuelTankVolume', 'value_localized': '67 model.specification.FuelTankVolume.unit(0)', 'value': '67', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 67, 'id': '848d2978875e03acab969cc6ea8028a1_FuelTankVolume'}]",,,,AUDI,True,False,,Q8,Q8,,AUDI Q8,,,,AUDI,,[]
,,aaea1f8b46f4227c04a20ceeed53530f,[],"[{'name': 'FuelTankVolume', 'value_localized': '65 model.specification.FuelTankVolume.unit(0)', 'value': '65', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 65, 'id': 'aaea1f8b46f4227c04a20ceeed53530f_FuelTankVolume'}]",,,,AUDI,True,False,,RS Q8,RS Q8,,AUDI RS Q8,,,,AUDI,,[]
,,4c5340924b256c7beb1379728a449b0e,[],"[{'name': 'FuelTankVolume', 'value_localized': '60 model.specification.FuelTankVolume.unit(0)', 'value': '60', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 60, 'id': '4c5340924b256c7beb1379728a449b0e_FuelTankVolume'}]",,,,BMW,True,False,,228,228,,BMW 228,,,,BMW,,[]
,,7bf1c60bb8c56cc004f6eac2527b1b37,[],"[{'name': 'FuelTankVolume', 'value_localized': '50 model.specification.FuelTankVolume.unit(0)', 'value': '50', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 50, 'id': '7bf1c60bb8c56cc004f6eac2527b1b37_FuelTankVolume'}]",,,,BMW,True,False,,330I,330I,,BMW 330I,,,,BMW,,[]
,,6dee828c2b367a59379ee6da52a0bff2,[],"[{'name': 'FuelTankVolume', 'value_localized': '45 model.specification.FuelTankVolume.unit(0)', 'value': '45', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 45, 'id': '6dee828c2b367a59379ee6da52a0bff2_FuelTankVolume'}]",,,,BMW,True,False,,330I X-Drive,330I X-Drive,,BMW 330I X-Drive,,,,BMW,,[]
,,8bce70f403ea6c5fcfa7b98ecfddb876,[],"[{'name': 'FuelTankVolume', 'value_localized': '55 model.specification.FuelTankVolume.unit(0)', 'value': '55', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 55, 'id': '8bce70f403ea6c5fcfa7b98ecfddb876_FuelTankVolume'}]",,,,BMW,True,False,,420,420,,BMW 420,,,,BMW,,[]
,,c69c44c4788c6f0ffb666efd63aae9ad,[],"[{'name': 'FuelTankVolume', 'value_localized': '68 model.specification.FuelTankVolume.unit(0)', 'value': '68', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 68, 'id': 'c69c44c4788c6f0ffb666efd63aae9ad_FuelTankVolume'}]",,,,BMW,True,False,,735,735,,BMW 735,,,,BMW,,[]
,,b60a9ee0e021f77c50628c7d741bcc34,[],"[{'name': 'FuelTankVolume', 'value_localized': '65 model.specification.FuelTankVolume.unit(0)', 'value': '65', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 65, 'id': 'b60a9ee0e021f77c50628c7d741bcc34_FuelTankVolume'}]",,,,BMW,True,False,,X6,X6,,BMW X6,,,,BMW,,[]
