deprecated,manufacturer,tyres_info,model_specifications,image_pin_url_3x,first_maintenance_mileage,fuel_distance_enabled,default_tags,fuel_type,image_small_url,registry_model,registry_manufacturer,intermediate_maintenance_mileage,image_map_url_3x,fuel_cap_side,short_name,maintenance_mileage,code,image_map_url_2x,image_pin_url_2x,image_large_url,name
False,AUDI,[],"[{'name': 'FuelTankVolume', 'value_localized': '45 model.specification.FuelTankVolume.unit(0)', 'value': '45', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 45, 'id': 'e987fa969f1b335ec6ec02ed724cb7f2_FuelTankVolume'}]",,,True,[],,,A3,AUDI,,,,A3,,e987fa969f1b335ec6ec02ed724cb7f2,,,,AUDI A3
False,AUDI,[],"[{'name': 'FuelTankVolume', 'value_localized': '50 model.specification.FuelTankVolume.unit(0)', 'value': '50', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 50, 'id': '938c288068d56305bd1bae356a862c74_FuelTankVolume'}]",,,True,[],,,A6,AUDI,,,,A6,,938c288068d56305bd1bae356a862c74,,,,AUDI A6
False,AUDI,[],"[{'name': 'FuelTankVolume', 'value_localized': '67 model.specification.FuelTankVolume.unit(0)', 'value': '67', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 67, 'id': '848d2978875e03acab969cc6ea8028a1_FuelTankVolume'}]",,,True,[],,,Q8,AUDI,,,,Q8,,848d2978875e03acab969cc6ea8028a1,,,,AUDI Q8
False,AUDI,[],"[{'name': 'FuelTankVolume', 'value_localized': '65 model.specification.FuelTankVolume.unit(0)', 'value': '65', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 65, 'id': 'aaea1f8b46f4227c04a20ceeed53530f_FuelTankVolume'}]",,,True,[],,,RS Q8,AUDI,,,,RS Q8,,aaea1f8b46f4227c04a20ceeed53530f,,,,AUDI RS Q8
False,BMW,[],"[{'name': 'FuelTankVolume', 'value_localized': '60 model.specification.FuelTankVolume.unit(0)', 'value': '60', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 60, 'id': '4c5340924b256c7beb1379728a449b0e_FuelTankVolume'}]",,,True,[],,,228,BMW,,,,228,,4c5340924b256c7beb1379728a449b0e,,,,BMW 228
False,BMW,[],"[{'name': 'FuelTankVolume', 'value_localized': '50 model.specification.FuelTankVolume.unit(0)', 'value': '50', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 50, 'id': '7bf1c60bb8c56cc004f6eac2527b1b37_FuelTankVolume'}]",,,True,[],,,330I,BMW,,,,330I,,7bf1c60bb8c56cc004f6eac2527b1b37,,,,BMW 330I
False,BMW,[],"[{'name': 'FuelTankVolume', 'value_localized': '45 model.specification.FuelTankVolume.unit(0)', 'value': '45', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 45, 'id': '6dee828c2b367a59379ee6da52a0bff2_FuelTankVolume'}]",,,True,[],,,330I X-Drive,BMW,,,,330I X-Drive,,6dee828c2b367a59379ee6da52a0bff2,,,,BMW 330I X-Drive
False,BMW,[],"[{'name': 'FuelTankVolume', 'value_localized': '55 model.specification.FuelTankVolume.unit(0)', 'value': '55', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 55, 'id': '8bce70f403ea6c5fcfa7b98ecfddb876_FuelTankVolume'}]",,,True,[],,,420,BMW,,,,420,,8bce70f403ea6c5fcfa7b98ecfddb876,,,,BMW 420
False,BMW,[],"[{'name': 'FuelTankVolume', 'value_localized': '68 model.specification.FuelTankVolume.unit(0)', 'value': '68', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 68, 'id': 'c69c44c4788c6f0ffb666efd63aae9ad_FuelTankVolume'}]",,,True,[],,,735,BMW,,,,735,,c69c44c4788c6f0ffb666efd63aae9ad,,,,BMW 735
False,BMW,[],"[{'name': 'FuelTankVolume', 'value_localized': '65 model.specification.FuelTankVolume.unit(0)', 'value': '65', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 65, 'id': 'b60a9ee0e021f77c50628c7d741bcc34_FuelTankVolume'}]",,,True,[],,,X6,BMW,,,,X6,,b60a9ee0e021f77c50628c7d741bcc34,,,,BMW X6
False,BMW430I,[],[],,,True,[],,,2024,BMW430I,,,,2024,,d1f4f5ce7fcc38dc896cd7b70a4d23c5,,,,BMW430I 2024
False,CADILLAC,[],"[{'name': 'FuelTankVolume', 'value_localized': '65 model.specification.FuelTankVolume.unit(0)', 'value': '65', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 65, 'id': '27c4f03fc4c666216dcb8150e5f4be71_FuelTankVolume'}]",,,True,[],,,ESCALADE,CADILLAC,,,,ESCALADE,,27c4f03fc4c666216dcb8150e5f4be71,,,,CADILLAC ESCALADE
