manufacturer,image_pin_url_3x,model_specifications,fuel_type,short_name,image_map_url_3x,maintenance_mileage,fuel_distance_enabled,registry_model,image_large_url,registry_manufacturer,intermediate_maintenance_mileage,image_map_url_2x,fuel_cap_side,image_small_url,default_tags,image_pin_url_2x,tyres_info,deprecated,first_maintenance_mileage,name,code
AUDI,,"[{'name': 'FuelTankVolume', 'value_localized': '45 model.specification.FuelTankVolume.unit(0)', 'value': '45', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 45, 'id': 'e987fa969f1b335ec6ec02ed724cb7f2_FuelTankVolume'}]",,A3,,,True,A3,,AUDI,,,,,[],,[],False,,AUDI A3,e987fa969f1b335ec6ec02ed724cb7f2
AUDI,,"[{'name': 'FuelTankVolume', 'value_localized': '50 model.specification.FuelTankVolume.unit(0)', 'value': '50', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 50, 'id': '938c288068d56305bd1bae356a862c74_FuelTankVolume'}]",,A6,,,True,A6,,AUDI,,,,,[],,[],False,,AUDI A6,938c288068d56305bd1bae356a862c74
AUDI,,"[{'name': 'FuelTankVolume', 'value_localized': '67 model.specification.FuelTankVolume.unit(0)', 'value': '67', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 67, 'id': '848d2978875e03acab969cc6ea8028a1_FuelTankVolume'}]",,Q8,,,True,Q8,,AUDI,,,,,[],,[],False,,AUDI Q8,848d2978875e03acab969cc6ea8028a1
AUDI,,"[{'name': 'FuelTankVolume', 'value_localized': '65 model.specification.FuelTankVolume.unit(0)', 'value': '65', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 65, 'id': 'aaea1f8b46f4227c04a20ceeed53530f_FuelTankVolume'}]",,RS Q8,,,True,RS Q8,,AUDI,,,,,[],,[],False,,AUDI RS Q8,aaea1f8b46f4227c04a20ceeed53530f
BMW,,"[{'name': 'FuelTankVolume', 'value_localized': '60 model.specification.FuelTankVolume.unit(0)', 'value': '60', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 60, 'id': '4c5340924b256c7beb1379728a449b0e_FuelTankVolume'}]",,228,,,True,228,,BMW,,,,,[],,[],False,,BMW 228,4c5340924b256c7beb1379728a449b0e
BMW,,"[{'name': 'FuelTankVolume', 'value_localized': '50 model.specification.FuelTankVolume.unit(0)', 'value': '50', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 50, 'id': '7bf1c60bb8c56cc004f6eac2527b1b37_FuelTankVolume'}]",,330I,,,True,330I,,BMW,,,,,[],,[],False,,BMW 330I,7bf1c60bb8c56cc004f6eac2527b1b37
BMW,,"[{'name': 'FuelTankVolume', 'value_localized': '45 model.specification.FuelTankVolume.unit(0)', 'value': '45', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 45, 'id': '6dee828c2b367a59379ee6da52a0bff2_FuelTankVolume'}]",,330I X-Drive,,,True,330I X-Drive,,BMW,,,,,[],,[],False,,BMW 330I X-Drive,6dee828c2b367a59379ee6da52a0bff2
BMW,,"[{'name': 'FuelTankVolume', 'value_localized': '55 model.specification.FuelTankVolume.unit(0)', 'value': '55', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 55, 'id': '8bce70f403ea6c5fcfa7b98ecfddb876_FuelTankVolume'}]",,420,,,True,420,,BMW,,,,,[],,[],False,,BMW 420,8bce70f403ea6c5fcfa7b98ecfddb876
BMW,,"[{'name': 'FuelTankVolume', 'value_localized': '68 model.specification.FuelTankVolume.unit(0)', 'value': '68', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 68, 'id': 'c69c44c4788c6f0ffb666efd63aae9ad_FuelTankVolume'}]",,735,,,True,735,,BMW,,,,,[],,[],False,,BMW 735,c69c44c4788c6f0ffb666efd63aae9ad
BMW,,"[{'name': 'FuelTankVolume', 'value_localized': '65 model.specification.FuelTankVolume.unit(0)', 'value': '65', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 65, 'id': 'b60a9ee0e021f77c50628c7d741bcc34_FuelTankVolume'}]",,X6,,,True,X6,,BMW,,,,,[],,[],False,,BMW X6,b60a9ee0e021f77c50628c7d741bcc34
