code,registry_manufacturer,model_specifications,fuel_type,first_maintenance_mileage,intermediate_maintenance_mileage,maintenance_mileage,name,image_map_url_3x,registry_model,image_large_url,deprecated,short_name,image_small_url,fuel_cap_side,image_pin_url_3x,fuel_distance_enabled,image_map_url_2x,tyres_info,default_tags,image_pin_url_2x,manufacturer
e987fa969f1b335ec6ec02ed724cb7f2,AUDI,"[{'name': 'FuelTankVolume', 'value_localized': '45 model.specification.FuelTankVolume.unit(0)', 'value': '45', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 45, 'id': 'e987fa969f1b335ec6ec02ed724cb7f2_FuelTankVolume'}]",,,,,AUDI A3,,A3,,False,A3,,,,True,,[],[],,AUDI
938c288068d56305bd1bae356a862c74,AUDI,"[{'name': 'FuelTankVolume', 'value_localized': '50 model.specification.FuelTankVolume.unit(0)', 'value': '50', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 50, 'id': '938c288068d56305bd1bae356a862c74_FuelTankVolume'}]",,,,,AUDI A6,,A6,,False,A6,,,,True,,[],[],,AUDI
848d2978875e03acab969cc6ea8028a1,AUDI,"[{'name': 'FuelTankVolume', 'value_localized': '67 model.specification.FuelTankVolume.unit(0)', 'value': '67', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 67, 'id': '848d2978875e03acab969cc6ea8028a1_FuelTankVolume'}]",,,,,AUDI Q8,,Q8,,False,Q8,,,,True,,[],[],,AUDI
aaea1f8b46f4227c04a20ceeed53530f,AUDI,"[{'name': 'FuelTankVolume', 'value_localized': '65 model.specification.FuelTankVolume.unit(0)', 'value': '65', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 65, 'id': 'aaea1f8b46f4227c04a20ceeed53530f_FuelTankVolume'}]",,,,,AUDI RS Q8,,RS Q8,,False,RS Q8,,,,True,,[],[],,AUDI
4c5340924b256c7beb1379728a449b0e,BMW,"[{'name': 'FuelTankVolume', 'value_localized': '60 model.specification.FuelTankVolume.unit(0)', 'value': '60', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 60, 'id': '4c5340924b256c7beb1379728a449b0e_FuelTankVolume'}]",,,,,BMW 228,,228,,False,228,,,,True,,[],[],,BMW
7bf1c60bb8c56cc004f6eac2527b1b37,BMW,"[{'name': 'FuelTankVolume', 'value_localized': '50 model.specification.FuelTankVolume.unit(0)', 'value': '50', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 50, 'id': '7bf1c60bb8c56cc004f6eac2527b1b37_FuelTankVolume'}]",,,,,BMW 330I,,330I,,False,330I,,,,True,,[],[],,BMW
6dee828c2b367a59379ee6da52a0bff2,BMW,"[{'name': 'FuelTankVolume', 'value_localized': '45 model.specification.FuelTankVolume.unit(0)', 'value': '45', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 45, 'id': '6dee828c2b367a59379ee6da52a0bff2_FuelTankVolume'}]",,,,,BMW 330I X-Drive,,330I X-Drive,,False,330I X-Drive,,,,True,,[],[],,BMW
8bce70f403ea6c5fcfa7b98ecfddb876,BMW,"[{'name': 'FuelTankVolume', 'value_localized': '55 model.specification.FuelTankVolume.unit(0)', 'value': '55', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 55, 'id': '8bce70f403ea6c5fcfa7b98ecfddb876_FuelTankVolume'}]",,,,,BMW 420,,420,,False,420,,,,True,,[],[],,BMW
c69c44c4788c6f0ffb666efd63aae9ad,BMW,"[{'name': 'FuelTankVolume', 'value_localized': '68 model.specification.FuelTankVolume.unit(0)', 'value': '68', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 68, 'id': 'c69c44c4788c6f0ffb666efd63aae9ad_FuelTankVolume'}]",,,,,BMW 735,,735,,False,735,,,,True,,[],[],,BMW
b60a9ee0e021f77c50628c7d741bcc34,BMW,"[{'name': 'FuelTankVolume', 'value_localized': '65 model.specification.FuelTankVolume.unit(0)', 'value': '65', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 65, 'id': 'b60a9ee0e021f77c50628c7d741bcc34_FuelTankVolume'}]",,,,,BMW X6,,X6,,False,X6,,,,True,,[],[],,BMW
d1f4f5ce7fcc38dc896cd7b70a4d23c5,BMW430I,[],,,,,BMW430I 2024,,2024,,False,2024,,,,True,,[],[],,BMW430I
