first_maintenance_mileage,image_pin_url_2x,code,default_tags,model_specifications,maintenance_period,maintenance_mileage,intermediate_maintenance_mileage,fuel_cap_side,registry_manufacturer,fuel_distance_enabled,deprecated,image_pin_url_3x,registry_model,short_name,image_map_url_2x,name,fuel_type,image_large_url,image_small_url,manufacturer,image_map_url_3x,tyres_info
,,f3184430dc27dfbf325eea18b2c9cbef,[],[],,,,,Chevrolet,True,False,,Spark,Spark,,Chevrolet Spark,,,,Chevrolet,,[]
,,294c8e986f6c47b62d503ea303f473bb,[],[],,,,,GMC,True,False,,2022,2022,,GMC 2022,,,,GMC,,[]
,,129ca9a0dbce72c0b4f75bbf7e08109a,[],[],,,,,Hyundai,True,False,,Accent,Accent,,Hyundai Accent,,,,Hyundai,,[]
,,164c9b4c2328d9350addc08495cfbc01,[],[],,,,,Hyundai,True,False,,Accent (old),Accent (old),,Hyundai Accent (old),,,,Hyundai,,[]
,,a81980f5e5d352b086e1b5a69a319a85,[],[],,,,,Hyundai,True,False,,Accent (old),Accent (old),,Hyundai Accent (old),,,,Hyundai,,[]
,,663d947896053bc1810889303aa0310d,[],[],,,,,Hyundai,True,False,,Creta,Creta,,Hyundai Creta,,,,Hyundai,,[]
,,6b2f6954dda39cd0b0256ab0058e7047,[],[],,,,,Hyundai,True,False,,Creta (old),Creta (old),,Hyundai Creta (old),,,,Hyundai,,[]
,,7bee801a156ddbf2f3736b42a4f4e55d,[],[],,,,,Hyundai,True,False,,Kona,Kona,,Hyundai Kona,,,,Hyundai,,[]
,,a8002867f3473022a76750a33a8c51ea,[],[],,,,,Hyundai,True,False,,Kona (old),Kona (old),,Hyundai Kona (old),,,,Hyundai,,[]
,,1faf7eef2e398848085281a6732df237,[],[],,,,,Hyundai,True,False,,Tucson,Tucson,,Hyundai Tucson,,,,Hyundai,,[]
,,3c461ad87c11183527c033d9b2d0bdc5,[],[],,,,,Hyundai,True,False,,Tucson (old),Tucson (old),,Hyundai Tucson (old),,,,Hyundai,,[]
,,761c8659af4619d808084b7e73377886,[],[],,,,,Hyundai,True,False,,Tucson (old),Tucson (old),,Hyundai Tucson (old),,,,Hyundai,,[]
,,93db49aa67d9a39edf0a721173771c84,[],[],,,,,Hyundai,True,False,,Tucson (old),Tucson (old),,Hyundai Tucson (old),,,,Hyundai,,[]
,,61ff3240fa3ca514f0eba503cd3483d5,[],[],,,,,Infinity,True,False,,QX55,QX55,,Infinity QX55,,,,Infinity,,[]
,,13fea444e31761818f1b1a3319440031,[],[],,,,,Infinity,True,False,,Qx60,Qx60,,Infinity Qx60,,,,Infinity,,[]
,,34df9da49b835bb65a098c805b077396,[],[],,,,,KIA,True,False,,K5,K5,,KIA K5,,,,KIA,,[]
,,77efd2c97eb9bd984e56e8f702679af9,[],"[{'name': 'FuelTankVolume', 'value_localized': '43 model.specification.FuelTankVolume.unit(2)', 'value': '43', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 43, 'id': '77efd2c97eb9bd984e56e8f702679af9_FuelTankVolume'}]",180d,,,,KIA,True,False,,PEGAS,PEGAS,,KIA PEGAS,,,,KIA,,[]
,,f5b2999581d515f69322e12886e96afd,[],[],,,,,KIA,True,False,,Pegas,Pegas,,KIA Pegas,,,,KIA,,[]
,,581f6750e4902b313620881bbd86ee34,[],[],,,,,KIA,True,False,,Seltos,Seltos,,KIA Seltos,,,,KIA,,[]
,,5fedd0fd29b724b41a7c694d882785e7,[],[],,,,,KIA,True,False,,Sportage,Sportage,,KIA Sportage,,,,KIA,,[]
,,78cbe2b0b9140d3ee6044bd2d796dc4f,[],[],,,,,Kia,True,False,,Picanto,Picanto,,Kia Picanto,,,,Kia,,[]
,,4d4869426f7f187a30f447633acb5153,[],[],,,,,Kia,True,False,,Seltos,Seltos,,Kia Seltos,,,,Kia,,[]
,,6d03c689fba109259983798915ce2788,[],[],,,,,Kia,True,False,,Seltos (old),Seltos (old),,Kia Seltos (old),,,,Kia,,[]
,,41bd52e64f3e8594c1ca03c8ddda2eb5,[],[],,,,,Kia,True,False,,Sportage,Sportage,,Kia Sportage,,,,Kia,,[]
,,af5cf605d5d8894ae20a6c50c37a570b,[],[],,,,,Mazda,True,False,,3,3,,Mazda 3,,,,Mazda,,[]
,,4219f5c0e553ef525461e84795d608ee,[],[],,,,,Mazda,True,False,,6,6,,Mazda 6,,,,Mazda,,[]
,,a7c9dfaec986ff0af742d0d068ac49d5,[],[],,,,,Mitsubishi,True,False,,ASX,ASX,,Mitsubishi ASX,,,,Mitsubishi,,[]
,,6f647b9371ed5e3c0434795c3fa225ce,[],[],,,,,Mitsubishi,True,False,,ATTRAGE,ATTRAGE,,Mitsubishi ATTRAGE,,,,Mitsubishi,,[]
,,62ebc04af4fc1e1cb5cafd35fc2899ae,[],[],,,,,Mitsubishi,True,False,,Attrage,Attrage,,Mitsubishi Attrage,,,,Mitsubishi,,[]
,,43f6f2b4cb5466e6b5c7f93e900cf03a,[],[],,,,,Mitsubishi,True,False,,Mirage,Mirage,,Mitsubishi Mirage,,,,Mitsubishi,,[]
,,4b660c2856400bfbe5ec47d2aba7fab2,[],[],,,,,Nissan,True,False,,Kicks,Kicks,,Nissan Kicks,,,,Nissan,,[]
,,72e49b33f8a89bf868fdae04d66e61ce,[],[],,,,,Nissan,True,False,,Kicks (old),Kicks (old),,Nissan Kicks (old),,,,Nissan,,[]
,,7a38f99b3a919edfc8d551dc57de3426,[],[],,,,,Nissan,True,False,,Micra,Micra,,Nissan Micra,,,,Nissan,,[]
,,12ba7c0beee822de4974f9ca338a55fb,[],[],,,,,Nissan,True,False,,Sunny,Sunny,,Nissan Sunny,,,,Nissan,,[]
,,73639f4fd106586bbfab1de4a8c75875,[],[],,,,,Nissan,True,False,,Sunny (old),Sunny (old),,Nissan Sunny (old),,,,Nissan,,[]
,,f0c34f083d3e98df361c2e4edd8ffeef,[],[],,,,,Nissan,True,False,,Sunny (old),Sunny (old),,Nissan Sunny (old),,,,Nissan,,[]
,,20bb4a2844b24830faae93fcce26dc32,[],[],,,,,Nissan Sunny,True,False,,2023,2023,,Nissan Sunny 2023,,,,Nissan Sunny,,[]
,,5e16a1956a19d712aa184ee0fcca5da7,[],[],,,,,Peugeot,True,False,,2008,2008,,Peugeot 2008,,,,Peugeot,,[]
,,4b058d5fc4049ad5a6a01679b32e8d27,[],[],,,,,Peugeot,True,False,,3008,3008,,Peugeot 3008,,,,Peugeot,,[]
,,f5bc8f0960d9abc6526d79abfa1117c6,[],[],,,,,Peugeot,True,False,,3008 (old),3008 (old),,Peugeot 3008 (old),,,,Peugeot,,[]
