deprecated,manufacturer,tyres_info,model_specifications,image_pin_url_3x,maintenance_period,first_maintenance_mileage,fuel_distance_enabled,default_tags,fuel_type,image_small_url,registry_model,registry_manufacturer,intermediate_maintenance_mileage,image_map_url_3x,fuel_cap_side,short_name,maintenance_mileage,code,image_map_url_2x,image_pin_url_2x,image_large_url,name
False,Chevrolet,[],[],,,,True,[],,,Spark,Chevrolet,,,,Spark,,f3184430dc27dfbf325eea18b2c9cbef,,,,Chevrolet Spark
False,GMC,[],[],,,,True,[],,,2022,GMC,,,,2022,,294c8e986f6c47b62d503ea303f473bb,,,,GMC 2022
False,Hyundai,[],[],,,,True,[],,,Accent,Hyundai,,,,Accent,,129ca9a0dbce72c0b4f75bbf7e08109a,,,,Hyundai Accent
False,Hyundai,[],[],,,,True,[],,,Accent (old),Hyundai,,,,Accent (old),,164c9b4c2328d9350addc08495cfbc01,,,,Hyundai Accent (old)
False,Hyundai,[],[],,,,True,[],,,Accent (old),Hyundai,,,,Accent (old),,a81980f5e5d352b086e1b5a69a319a85,,,,Hyundai Accent (old)
False,Hyundai,[],[],,,,True,[],,,Creta,Hyundai,,,,Creta,,663d947896053bc1810889303aa0310d,,,,Hyundai Creta
False,Hyundai,[],[],,,,True,[],,,Creta (old),Hyundai,,,,Creta (old),,6b2f6954dda39cd0b0256ab0058e7047,,,,Hyundai Creta (old)
False,Hyundai,[],[],,,,True,[],,,Kona,Hyundai,,,,Kona,,7bee801a156ddbf2f3736b42a4f4e55d,,,,Hyundai Kona
False,Hyundai,[],[],,,,True,[],,,Kona (old),Hyundai,,,,Kona (old),,a8002867f3473022a76750a33a8c51ea,,,,Hyundai Kona (old)
False,Hyundai,[],[],,,,True,[],,,Tucson,Hyundai,,,,Tucson,,1faf7eef2e398848085281a6732df237,,,,Hyundai Tucson
False,Hyundai,[],[],,,,True,[],,,Tucson (old),Hyundai,,,,Tucson (old),,3c461ad87c11183527c033d9b2d0bdc5,,,,Hyundai Tucson (old)
False,Hyundai,[],[],,,,True,[],,,Tucson (old),Hyundai,,,,Tucson (old),,761c8659af4619d808084b7e73377886,,,,Hyundai Tucson (old)
False,Hyundai,[],[],,,,True,[],,,Tucson (old),Hyundai,,,,Tucson (old),,93db49aa67d9a39edf0a721173771c84,,,,Hyundai Tucson (old)
False,Infinity,[],[],,,,True,[],,,QX55,Infinity,,,,QX55,,61ff3240fa3ca514f0eba503cd3483d5,,,,Infinity QX55
False,Infinity,[],[],,,,True,[],,,Qx60,Infinity,,,,Qx60,,13fea444e31761818f1b1a3319440031,,,,Infinity Qx60
False,KIA,[],[],,,,True,[],,,K5,KIA,,,,K5,,34df9da49b835bb65a098c805b077396,,,,KIA K5
