manufacturer,image_pin_url_3x,model_specifications,maintenance_period,fuel_type,short_name,image_map_url_3x,maintenance_mileage,fuel_distance_enabled,registry_model,image_large_url,registry_manufacturer,intermediate_maintenance_mileage,image_map_url_2x,fuel_cap_side,image_small_url,default_tags,image_pin_url_2x,tyres_info,deprecated,first_maintenance_mileage,name,code
Chevrolet,,[],,,Spark,,,True,Spark,,Chevrolet,,,,,[],,[],False,,Chevrolet Spark,f3184430dc27dfbf325eea18b2c9cbef
GMC,,[],,,2022,,,True,2022,,GMC,,,,,[],,[],False,,GMC 2022,294c8e986f6c47b62d503ea303f473bb
Hyundai,,[],,,Accent,,,True,Accent,,Hyundai,,,,,[],,[],False,,Hyundai Accent,129ca9a0dbce72c0b4f75bbf7e08109a
Hyundai,,[],,,Accent (old),,,True,Accent (old),,Hyundai,,,,,[],,[],False,,Hyundai Accent (old),164c9b4c2328d9350addc08495cfbc01
Hyundai,,[],,,Accent (old),,,True,Accent (old),,Hyundai,,,,,[],,[],False,,Hyundai Accent (old),a81980f5e5d352b086e1b5a69a319a85
Hyundai,,[],,,Creta,,,True,Creta,,Hyundai,,,,,[],,[],False,,Hyundai Creta,663d947896053bc1810889303aa0310d
Hyundai,,[],,,Creta (old),,,True,Creta (old),,Hyundai,,,,,[],,[],False,,Hyundai Creta (old),6b2f6954dda39cd0b0256ab0058e7047
Hyundai,,[],,,Kona,,,True,Kona,,Hyundai,,,,,[],,[],False,,Hyundai Kona,7bee801a156ddbf2f3736b42a4f4e55d
Hyundai,,[],,,Kona (old),,,True,Kona (old),,Hyundai,,,,,[],,[],False,,Hyundai Kona (old),a8002867f3473022a76750a33a8c51ea
Hyundai,,[],,,Tucson,,,True,Tucson,,Hyundai,,,,,[],,[],False,,Hyundai Tucson,1faf7eef2e398848085281a6732df237
Hyundai,,[],,,Tucson (old),,,True,Tucson (old),,Hyundai,,,,,[],,[],False,,Hyundai Tucson (old),3c461ad87c11183527c033d9b2d0bdc5
Hyundai,,[],,,Tucson (old),,,True,Tucson (old),,Hyundai,,,,,[],,[],False,,Hyundai Tucson (old),761c8659af4619d808084b7e73377886
Hyundai,,[],,,Tucson (old),,,True,Tucson (old),,Hyundai,,,,,[],,[],False,,Hyundai Tucson (old),93db49aa67d9a39edf0a721173771c84
Infinity,,[],,,QX55,,,True,QX55,,Infinity,,,,,[],,[],False,,Infinity QX55,61ff3240fa3ca514f0eba503cd3483d5
Infinity,,[],,,Qx60,,,True,Qx60,,Infinity,,,,,[],,[],False,,Infinity Qx60,13fea444e31761818f1b1a3319440031
KIA,,[],,,K5,,,True,K5,,KIA,,,,,[],,[],False,,KIA K5,34df9da49b835bb65a098c805b077396
KIA,,"[{'name': 'FuelTankVolume', 'value_localized': '43 model.specification.FuelTankVolume.unit(2)', 'value': '43', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 43, 'id': '77efd2c97eb9bd984e56e8f702679af9_FuelTankVolume'}]",180d,,PEGAS,,,True,PEGAS,,KIA,,,,,[],,[],False,,KIA PEGAS,77efd2c97eb9bd984e56e8f702679af9
KIA,,[],,,Pegas,,,True,Pegas,,KIA,,,,,[],,[],False,,KIA Pegas,f5b2999581d515f69322e12886e96afd
KIA,,[],,,Seltos,,,True,Seltos,,KIA,,,,,[],,[],False,,KIA Seltos,581f6750e4902b313620881bbd86ee34
