code,registry_manufacturer,model_specifications,fuel_type,first_maintenance_mileage,intermediate_maintenance_mileage,maintenance_mileage,name,maintenance_period,image_map_url_3x,registry_model,image_large_url,deprecated,short_name,image_small_url,fuel_cap_side,image_pin_url_3x,fuel_distance_enabled,image_map_url_2x,tyres_info,default_tags,image_pin_url_2x,manufacturer
f3184430dc27dfbf325eea18b2c9cbef,Chevrolet,[],,,,,Chevrolet Spark,,,Spark,,False,Spark,,,,True,,[],[],,Chevrolet
294c8e986f6c47b62d503ea303f473bb,GMC,[],,,,,GMC 2022,,,2022,,False,2022,,,,True,,[],[],,GMC
129ca9a0dbce72c0b4f75bbf7e08109a,Hyundai,[],,,,,Hyundai Accent,,,Accent,,False,Accent,,,,True,,[],[],,Hyundai
164c9b4c2328d9350addc08495cfbc01,Hyundai,[],,,,,Hyundai Accent (old),,,Accent (old),,False,Accent (old),,,,True,,[],[],,Hyundai
a81980f5e5d352b086e1b5a69a319a85,Hyundai,[],,,,,Hyundai Accent (old),,,Accent (old),,False,Accent (old),,,,True,,[],[],,Hyundai
663d947896053bc1810889303aa0310d,Hyundai,[],,,,,Hyundai Creta,,,Creta,,False,Creta,,,,True,,[],[],,Hyundai
6b2f6954dda39cd0b0256ab0058e7047,Hyundai,[],,,,,Hyundai Creta (old),,,Creta (old),,False,Creta (old),,,,True,,[],[],,Hyundai
7bee801a156ddbf2f3736b42a4f4e55d,Hyundai,[],,,,,Hyundai Kona,,,Kona,,False,Kona,,,,True,,[],[],,Hyundai
a8002867f3473022a76750a33a8c51ea,Hyundai,[],,,,,Hyundai Kona (old),,,Kona (old),,False,Kona (old),,,,True,,[],[],,Hyundai
2786935c7f6a970f470f080b885d285d,Hyundai,[],,,,,Hyundai Palisade,,,Palisade,,False,Palisade,,,,True,,[],[],,Hyundai
5f372061a765e2f0fb4e19f51fc5dc9e,Hyundai,[],,,,,Hyundai Santa Fee,,,Santa Fee,,False,Santa Fee,,,,True,,[],[],,Hyundai
1faf7eef2e398848085281a6732df237,Hyundai,[],,,,,Hyundai Tucson,,,Tucson,,False,Tucson,,,,True,,[],[],,Hyundai
3c461ad87c11183527c033d9b2d0bdc5,Hyundai,[],,,,,Hyundai Tucson (old),,,Tucson (old),,False,Tucson (old),,,,True,,[],[],,Hyundai
761c8659af4619d808084b7e73377886,Hyundai,[],,,,,Hyundai Tucson (old),,,Tucson (old),,False,Tucson (old),,,,True,,[],[],,Hyundai
93db49aa67d9a39edf0a721173771c84,Hyundai,[],,,,,Hyundai Tucson (old),,,Tucson (old),,False,Tucson (old),,,,True,,[],[],,Hyundai
1ffc9757f5eea13f30c70d1eac1bf413,Infinity,[],,,,,Infinity Q50,,,Q50,,False,Q50,,,,True,,[],[],,Infinity
61ff3240fa3ca514f0eba503cd3483d5,Infinity,[],,,,,Infinity QX55,,,QX55,,False,QX55,,,,True,,[],[],,Infinity
13fea444e31761818f1b1a3319440031,Infinity,[],,,,,Infinity Qx60,,,Qx60,,False,Qx60,,,,True,,[],[],,Infinity
34df9da49b835bb65a098c805b077396,KIA,[],,,,,KIA K5,,,K5,,False,K5,,,,True,,[],[],,KIA
77efd2c97eb9bd984e56e8f702679af9,KIA,"[{'name': 'FuelTankVolume', 'value_localized': '43 model.specification.FuelTankVolume.unit(2)', 'value': '43', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 43, 'id': '77efd2c97eb9bd984e56e8f702679af9_FuelTankVolume'}]",,,,,KIA PEGAS,180d,,PEGAS,,False,PEGAS,,,,True,,[],[],,KIA
f5b2999581d515f69322e12886e96afd,KIA,[],,,,,KIA Pegas,,,Pegas,,False,Pegas,,,,True,,[],[],,KIA
2264c7a65fec2812ab9d6ba004d6c648,KIA,[],,,,,KIA RIO,,,RIO,,False,RIO,,,,True,,[],[],,KIA
581f6750e4902b313620881bbd86ee34,KIA,[],,,,,KIA Seltos,,,Seltos,,False,Seltos,,,,True,,[],[],,KIA
5fedd0fd29b724b41a7c694d882785e7,KIA,[],,,,,KIA Sportage,,,Sportage,,False,Sportage,,,,True,,[],[],,KIA
78cbe2b0b9140d3ee6044bd2d796dc4f,Kia,[],,,,,Kia Picanto,,,Picanto,,False,Picanto,,,,True,,[],[],,Kia
4d4869426f7f187a30f447633acb5153,Kia,[],,,,,Kia Seltos,,,Seltos,,False,Seltos,,,,True,,[],[],,Kia
6d03c689fba109259983798915ce2788,Kia,[],,,,,Kia Seltos (old),,,Seltos (old),,False,Seltos (old),,,,True,,[],[],,Kia
41bd52e64f3e8594c1ca03c8ddda2eb5,Kia,[],,,,,Kia Sportage,,,Sportage,,False,Sportage,,,,True,,[],[],,Kia
af5cf605d5d8894ae20a6c50c37a570b,Mazda,[],,,,,Mazda 3,,,3,,False,3,,,,True,,[],[],,Mazda
4219f5c0e553ef525461e84795d608ee,Mazda,[],,,,,Mazda 6,,,6,,False,6,,,,True,,[],[],,Mazda
6e22f909e60a5b4ed44c265148661397,Mazda,[],,,,,Mazda CX5,,,CX5,,False,CX5,,,,True,,[],[],,Mazda
a7c9dfaec986ff0af742d0d068ac49d5,Mitsubishi,[],,,,,Mitsubishi ASX,,,ASX,,False,ASX,,,,True,,[],[],,Mitsubishi
