first_maintenance_mileage,image_pin_url_2x,code,default_tags,model_specifications,maintenance_period,maintenance_mileage,intermediate_maintenance_mileage,fuel_cap_side,registry_manufacturer,fuel_distance_enabled,deprecated,image_pin_url_3x,registry_model,short_name,image_map_url_2x,name,fuel_type,image_large_url,image_small_url,manufacturer,image_map_url_3x,tyres_info
,,9ccc94adb6ab185beefe3e919a9dbd6f,[],[],,,,,BMW,True,False,,520 I,520 I,,BMW 520 I,,,,BMW,,[]
,,95d9045657590efc1954585d024c1bfc,[],[],,,,,BMW,True,False,,X5,X5,,BMW X5,,,,BMW,,[]
,,d6011212048ed4fb001ceff3c254e70f,[],[],,,,,CHEVROLET,True,False,,CORVETTE,CORVETTE,,CHEVROLET CORVETTE,,,,CHEVROLET,,[]
,,5b8570f0652492880594dce8ff37b285,[],[],,,,,CHEVROLET,True,False,,SUBURBAN,SUBURBAN,,CHEVROLET SUBURBAN,,,,CHEVROLET,,[]
,,3062d78bf6a18d35ad6a0026d913e259,[],[],,,,,Changhan,True,False,,Eado,Eado,,Changhan Eado,,,,Changhan,,[]
,,da4f70bf0645a2fc968eeb07553ad738,[],[],,,,,Chevrolet,True,False,,Aveo,Aveo,,Chevrolet Aveo,,,,Chevrolet,,[]
,,f7322d3fe9523b17c2b28bcb6d17563d,[],[],,,,,Chevrolet,True,False,,Impala,Impala,,Chevrolet Impala,,,,Chevrolet,,[]
,,a0ed614e4a74bb30c52d5d8082b64d34,[],[],,,,,Chevrolet,True,False,,Spark,Spark,,Chevrolet Spark,,,,Chevrolet,,[]
,,99289d19e9ab36bc866c6ee22b0ce012,[],[],,,,,DODGE,True,False,,CHARGER V6,CHARGER V6,,DODGE CHARGER V6,,,,DODGE,,[]
,,1c2723f4a3f5fa47ad5dbed847182f47,[],[],,,,,DODGE,True,False,,CHARGER V8,CHARGER V8,,DODGE CHARGER V8,,,,DODGE,,[]
,,8516fc77bbb7046b73cfd2895692329e,[],[],,,,,FORD,True,False,,MUSTANG CONVERTIBLE,MUSTANG CONVERTIBLE,,FORD MUSTANG CONVERTIBLE,,,,FORD,,[]
,,3d9c79c65602212595a1b3494141367c,[],[],,,,,FORD,True,False,,MUSTANG CONVERTIBLE V8,MUSTANG CONVERTIBLE V8,,FORD MUSTANG CONVERTIBLE V8,,,,FORD,,[]
,,2c90ab372fa88a2e519fe878dda3e483,[],[],,,,,FORD,True,False,,MUSTANG ECOBOOST,MUSTANG ECOBOOST,,FORD MUSTANG ECOBOOST,,,,FORD,,[]
,,e9739d819cf6f2b2d8655128d4a04bb7,[],[],,,,,FORD,True,False,,MUSTANG GT,MUSTANG GT,,FORD MUSTANG GT,,,,FORD,,[]
,,b314c15bae6b9c0df2fa25b25f16c79b,[],[],,,,,Honda,True,False,,CIVIC,CIVIC,,Honda CIVIC,,,,Honda,,[]
,,3b0ba743fbaf88831806d1d73f4a67c0,[],[],,,,,INFINITI,True,False,,QX60,QX60,,INFINITI QX60,,,,INFINITI,,[]
,,8e7a33274929c86a5af34fc929eaf7f4,[],[],,,,,INFINITI,True,False,,QX80,QX80,,INFINITI QX80,,,,INFINITI,,[]
,,90ab1cfba1c44883f34f12376b7779e0,[],[],,,,,KIA,True,False,,GRAND CARNIVAL,GRAND CARNIVAL,,KIA GRAND CARNIVAL,,,,KIA,,[]
,,4ccee56f936da5b4c242251b5e76e9d8,[],[],,,,,KIA,True,False,,Picanto,Picanto,,KIA Picanto,,,,KIA,,[]
,,a727c5fdb98ddd231655ab25fb37eb1f,[],[],,,,,Kia,True,False,,Sportage,Sportage,,Kia Sportage,,,,Kia,,[]
,,34848ec688267ebf8caeb676e52ed1e2,[],[],,,,,Land Rover,True,False,,Range Rover SVR,Range Rover SVR,,Land Rover Range Rover SVR,,,,Land Rover,,[]
,,d3a8de5a47dda0f2caf457326595637b,[],[],,,,,Land Rover,True,False,,Range Rover Sports,Range Rover Sports,,Land Rover Range Rover Sports,,,,Land Rover,,[]
,,5363e598bf267449725318a1720085ca,[],[],,,,,MERCEDES,True,False,,450S,450S,,MERCEDES 450S,,,,MERCEDES,,[]
