deprecated,manufacturer,tyres_info,model_specifications,image_pin_url_3x,maintenance_period,first_maintenance_mileage,fuel_distance_enabled,default_tags,fuel_type,image_small_url,registry_model,registry_manufacturer,intermediate_maintenance_mileage,image_map_url_3x,fuel_cap_side,short_name,maintenance_mileage,code,image_map_url_2x,image_pin_url_2x,image_large_url,name
False,BMW,[],[],,,,True,[],,,520 I,BMW,,,,520 I,,9ccc94adb6ab185beefe3e919a9dbd6f,,,,BMW 520 I
False,BMW,[],[],,,,True,[],,,X5,BMW,,,,X5,,95d9045657590efc1954585d024c1bfc,,,,BMW X5
False,CHEVROLET,[],[],,,,True,[],,,CORVETTE,CHEVROLET,,,,CORVETTE,,d6011212048ed4fb001ceff3c254e70f,,,,CHEVROLET CORVETTE
False,CHEVROLET,[],[],,,,True,[],,,SUBURBAN,CHEVROLET,,,,SUBURBAN,,5b8570f0652492880594dce8ff37b285,,,,CHEVROLET SUBURBAN
False,Changhan,[],[],,,,True,[],,,Eado,Changhan,,,,Eado,,3062d78bf6a18d35ad6a0026d913e259,,,,Changhan Eado
False,Chevrolet,[],[],,,,True,[],,,Aveo,Chevrolet,,,,Aveo,,da4f70bf0645a2fc968eeb07553ad738,,,,Chevrolet Aveo
False,Chevrolet,[],[],,,,True,[],,,Impala,Chevrolet,,,,Impala,,f7322d3fe9523b17c2b28bcb6d17563d,,,,Chevrolet Impala
False,Chevrolet,[],[],,,,True,[],,,Spark,Chevrolet,,,,Spark,,a0ed614e4a74bb30c52d5d8082b64d34,,,,Chevrolet Spark
False,DODGE,[],[],,,,True,[],,,CHARGER V6,DODGE,,,,CHARGER V6,,99289d19e9ab36bc866c6ee22b0ce012,,,,DODGE CHARGER V6
False,DODGE,[],[],,,,True,[],,,CHARGER V8,DODGE,,,,CHARGER V8,,1c2723f4a3f5fa47ad5dbed847182f47,,,,DODGE CHARGER V8
False,FORD,[],[],,,,True,[],,,MUSTANG CONVERTIBLE,FORD,,,,MUSTANG CONVERTIBLE,,8516fc77bbb7046b73cfd2895692329e,,,,FORD MUSTANG CONVERTIBLE
False,FORD,[],[],,,,True,[],,,MUSTANG CONVERTIBLE V8,FORD,,,,MUSTANG CONVERTIBLE V8,,3d9c79c65602212595a1b3494141367c,,,,FORD MUSTANG CONVERTIBLE V8
False,FORD,[],[],,,,True,[],,,MUSTANG ECOBOOST,FORD,,,,MUSTANG ECOBOOST,,2c90ab372fa88a2e519fe878dda3e483,,,,FORD MUSTANG ECOBOOST
False,FORD,[],[],,,,True,[],,,MUSTANG GT,FORD,,,,MUSTANG GT,,e9739d819cf6f2b2d8655128d4a04bb7,,,,FORD MUSTANG GT
False,Honda,[],[],,,,True,[],,,CIVIC,Honda,,,,CIVIC,,b314c15bae6b9c0df2fa25b25f16c79b,,,,Honda CIVIC
False,INFINITI,[],[],,,,True,[],,,QX60,INFINITI,,,,QX60,,3b0ba743fbaf88831806d1d73f4a67c0,,,,INFINITI QX60
False,INFINITI,[],[],,,,True,[],,,QX80,INFINITI,,,,QX80,,8e7a33274929c86a5af34fc929eaf7f4,,,,INFINITI QX80
False,KIA,[],[],,,,True,[],,,GRAND CARNIVAL,KIA,,,,GRAND CARNIVAL,,90ab1cfba1c44883f34f12376b7779e0,,,,KIA GRAND CARNIVAL
False,KIA,[],[],,,,True,[],,,Picanto,KIA,,,,Picanto,,4ccee56f936da5b4c242251b5e76e9d8,,,,KIA Picanto
False,Kia,[],[],,,,True,[],,,Sportage,Kia,,,,Sportage,,a727c5fdb98ddd231655ab25fb37eb1f,,,,Kia Sportage
False,Land Rover,[],[],,,,True,[],,,Range Rover SVR,Land Rover,,,,Range Rover SVR,,34848ec688267ebf8caeb676e52ed1e2,,,,Land Rover Range Rover SVR
False,Land Rover,[],[],,,,True,[],,,Range Rover Sports,Land Rover,,,,Range Rover Sports,,d3a8de5a47dda0f2caf457326595637b,,,,Land Rover Range Rover Sports
False,MERCEDES,[],[],,,,True,[],,,450S,MERCEDES,,,,450S,,5363e598bf267449725318a1720085ca,,,,MERCEDES 450S
False,MERCEDES,[],[],,,,True,[],,,C300,MERCEDES,,,,C300,,d7d3d086bd49be620bd8682fb0536cd3,,,,MERCEDES C300
False,MERCEDES,[],[],,,,True,[],,,C300-CONVERTIBLE,MERCEDES,,,,C300-CONVERTIBLE,,368e448b514c41adbae48d396359979c,,,,MERCEDES C300-CONVERTIBLE
False,Mercedes,[],[],,,,True,[],,,G63,Mercedes,,,,G63,,3d3b37f8691c1f6343d34a7950ddfedf,,,,Mercedes G63
False,Mitsubishi,[],[],,,,True,[],,,Mirage,Mitsubishi,,,,Mirage,,e97422f6886f5290aee0ef0663fd1c4a,,,,Mitsubishi Mirage
False,Mitsubishi,[],[],,,,True,[],,,Pajero,Mitsubishi,,,,Pajero,,8ed0a5160b112c1b13d98994b8ab93ae,,,,Mitsubishi Pajero
False,NISSAN,[],[],,,,True,[],,,Patrol,NISSAN,,,,Patrol,,32e6403082826fbaa210c0fa183c5444,,,,NISSAN Patrol
False,Nissan,[],[],,,,True,[],,,Kicks,Nissan,,,,Kicks,,4986559f13a4857a89d9b778f70863fe,,,,Nissan Kicks
False,Nissan,[],[],,,,True,[],,,Kicks,Nissan,,,,Kicks,,9887f675ccbee8c6d86dad37734958d6,,,,Nissan Kicks
False,Nissan,[],[],,,,True,[],,,Kicks,Nissan,,,,Kicks,,c34074603e423740e9f13b87e44f5d5a,,,,Nissan Kicks
False,Nissan,[],[],,,,True,[],,,Pathfinder,Nissan,,,,Pathfinder,,20faff55632a55a06a61a5f0442dcd98,,,,Nissan Pathfinder
False,Nissan,[],[],,,,True,[],,,Sentra,Nissan,,,,Sentra,,4d19b21c5852689206260cb5da55806a,,,,Nissan Sentra
False,Nissan,[],[],,,,True,[],,,Sentra,Nissan,,,,Sentra,,f3f85d631fc627214db4410ae06a4cb9,,,,Nissan Sentra
False,Nissan,[],[],,,,True,[],,,Sunny,Nissan,,,,Sunny,,51a2c6c2e3b0eed1c9ba2fce50034a07,,,,Nissan Sunny
False,Nissan,[],[],,,,True,[],,,Sunny,Nissan,,,,Sunny,,b7deca120c63ac5d22baf608f0c0a16d,,,,Nissan Sunny
False,Nissan,[],"[{'name': 'FuelTankVolume', 'value_localized': '41 model.specification.FuelTankVolume.unit(1)', 'value': '41', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 41, 'id': 'dda6eef2a50ab6b88c8fb2fd2c225727_FuelTankVolume'}]",,30d,,True,[],,,Sunny,Nissan,,,,Sunny,32104,dda6eef2a50ab6b88c8fb2fd2c225727,,,,Nissan Sunny
False,Nissan,[],[],,,,True,[],,,Versa,Nissan,,,,Versa,,6a64b883b9b9449a2b1b64d0a5654841,,,,Nissan Versa
False,Renault,[],[],,,,True,[],,,Duster,Renault,,,,Duster,,a5c5c6c17bc62a7ef21557779b7c3b47,,,,Renault Duster
False,Renault,[],[],,,,True,[],,,Symbol,Renault,,,,Symbol,,4b3b800e5736f75a57b6ddbc3f500013,,,,Renault Symbol
False,Renault,[],[],,,,True,[],,,Symbol,Renault,,,,Symbol,,b01fce99415fde4824efed16689560e7,,,,Renault Symbol
False,TOYOTA,[],[],,,,True,[],,,Landcruiser,TOYOTA,,,,Landcruiser,,78588d8ac42a4e453d0f750daa51d60e,,,,TOYOTA Landcruiser
