code,registry_manufacturer,model_specifications,fuel_type,first_maintenance_mileage,intermediate_maintenance_mileage,maintenance_mileage,name,maintenance_period,image_map_url_3x,registry_model,image_large_url,deprecated,short_name,image_small_url,fuel_cap_side,image_pin_url_3x,fuel_distance_enabled,image_map_url_2x,tyres_info,default_tags,image_pin_url_2x,manufacturer
9ccc94adb6ab185beefe3e919a9dbd6f,BMW,[],,,,,BMW 520 I,,,520 I,,False,520 I,,,,True,,[],[],,BMW
95d9045657590efc1954585d024c1bfc,BMW,[],,,,,BMW X5,,,X5,,False,X5,,,,True,,[],[],,BMW
d6011212048ed4fb001ceff3c254e70f,CHEVROLET,[],,,,,CHEVROLET CORVETTE,,,CORVETTE,,False,CORVETTE,,,,True,,[],[],,CHEVROLET
5b8570f0652492880594dce8ff37b285,CHEVROLET,[],,,,,CHEVROLET SUBURBAN,,,SUBURBAN,,False,SUBURBAN,,,,True,,[],[],,CHEVROLET
3062d78bf6a18d35ad6a0026d913e259,Changhan,[],,,,,Changhan Eado,,,Eado,,False,Eado,,,,True,,[],[],,Changhan
da4f70bf0645a2fc968eeb07553ad738,Chevrolet,[],,,,,Chevrolet Aveo,,,Aveo,,False,Aveo,,,,True,,[],[],,Chevrolet
f7322d3fe9523b17c2b28bcb6d17563d,Chevrolet,[],,,,,Chevrolet Impala,,,Impala,,False,Impala,,,,True,,[],[],,Chevrolet
a0ed614e4a74bb30c52d5d8082b64d34,Chevrolet,[],,,,,Chevrolet Spark,,,Spark,,False,Spark,,,,True,,[],[],,Chevrolet
99289d19e9ab36bc866c6ee22b0ce012,DODGE,[],,,,,DODGE CHARGER V6,,,CHARGER V6,,False,CHARGER V6,,,,True,,[],[],,DODGE
1c2723f4a3f5fa47ad5dbed847182f47,DODGE,[],,,,,DODGE CHARGER V8,,,CHARGER V8,,False,CHARGER V8,,,,True,,[],[],,DODGE
8516fc77bbb7046b73cfd2895692329e,FORD,[],,,,,FORD MUSTANG CONVERTIBLE,,,MUSTANG CONVERTIBLE,,False,MUSTANG CONVERTIBLE,,,,True,,[],[],,FORD
3d9c79c65602212595a1b3494141367c,FORD,[],,,,,FORD MUSTANG CONVERTIBLE V8,,,MUSTANG CONVERTIBLE V8,,False,MUSTANG CONVERTIBLE V8,,,,True,,[],[],,FORD
2c90ab372fa88a2e519fe878dda3e483,FORD,[],,,,,FORD MUSTANG ECOBOOST,,,MUSTANG ECOBOOST,,False,MUSTANG ECOBOOST,,,,True,,[],[],,FORD
e9739d819cf6f2b2d8655128d4a04bb7,FORD,[],,,,,FORD MUSTANG GT,,,MUSTANG GT,,False,MUSTANG GT,,,,True,,[],[],,FORD
b314c15bae6b9c0df2fa25b25f16c79b,Honda,[],,,,,Honda CIVIC,,,CIVIC,,False,CIVIC,,,,True,,[],[],,Honda
3b0ba743fbaf88831806d1d73f4a67c0,INFINITI,[],,,,,INFINITI QX60,,,QX60,,False,QX60,,,,True,,[],[],,INFINITI
8e7a33274929c86a5af34fc929eaf7f4,INFINITI,[],,,,,INFINITI QX80,,,QX80,,False,QX80,,,,True,,[],[],,INFINITI
90ab1cfba1c44883f34f12376b7779e0,KIA,[],,,,,KIA GRAND CARNIVAL,,,GRAND CARNIVAL,,False,GRAND CARNIVAL,,,,True,,[],[],,KIA
4ccee56f936da5b4c242251b5e76e9d8,KIA,[],,,,,KIA Picanto,,,Picanto,,False,Picanto,,,,True,,[],[],,KIA
a727c5fdb98ddd231655ab25fb37eb1f,Kia,[],,,,,Kia Sportage,,,Sportage,,False,Sportage,,,,True,,[],[],,Kia
34848ec688267ebf8caeb676e52ed1e2,Land Rover,[],,,,,Land Rover Range Rover SVR,,,Range Rover SVR,,False,Range Rover SVR,,,,True,,[],[],,Land Rover
d3a8de5a47dda0f2caf457326595637b,Land Rover,[],,,,,Land Rover Range Rover Sports,,,Range Rover Sports,,False,Range Rover Sports,,,,True,,[],[],,Land Rover
5363e598bf267449725318a1720085ca,MERCEDES,[],,,,,MERCEDES 450S,,,450S,,False,450S,,,,True,,[],[],,MERCEDES
d7d3d086bd49be620bd8682fb0536cd3,MERCEDES,[],,,,,MERCEDES C300,,,C300,,False,C300,,,,True,,[],[],,MERCEDES
368e448b514c41adbae48d396359979c,MERCEDES,[],,,,,MERCEDES C300-CONVERTIBLE,,,C300-CONVERTIBLE,,False,C300-CONVERTIBLE,,,,True,,[],[],,MERCEDES
3d3b37f8691c1f6343d34a7950ddfedf,Mercedes,[],,,,,Mercedes G63,,,G63,,False,G63,,,,True,,[],[],,Mercedes
e97422f6886f5290aee0ef0663fd1c4a,Mitsubishi,[],,,,,Mitsubishi Mirage,,,Mirage,,False,Mirage,,,,True,,[],[],,Mitsubishi
8ed0a5160b112c1b13d98994b8ab93ae,Mitsubishi,[],,,,,Mitsubishi Pajero,,,Pajero,,False,Pajero,,,,True,,[],[],,Mitsubishi
32e6403082826fbaa210c0fa183c5444,NISSAN,[],,,,,NISSAN Patrol,,,Patrol,,False,Patrol,,,,True,,[],[],,NISSAN
4986559f13a4857a89d9b778f70863fe,Nissan,[],,,,,Nissan Kicks,,,Kicks,,False,Kicks,,,,True,,[],[],,Nissan
9887f675ccbee8c6d86dad37734958d6,Nissan,[],,,,,Nissan Kicks,,,Kicks,,False,Kicks,,,,True,,[],[],,Nissan
c34074603e423740e9f13b87e44f5d5a,Nissan,[],,,,,Nissan Kicks,,,Kicks,,False,Kicks,,,,True,,[],[],,Nissan
20faff55632a55a06a61a5f0442dcd98,Nissan,[],,,,,Nissan Pathfinder,,,Pathfinder,,False,Pathfinder,,,,True,,[],[],,Nissan
4d19b21c5852689206260cb5da55806a,Nissan,[],,,,,Nissan Sentra,,,Sentra,,False,Sentra,,,,True,,[],[],,Nissan
f3f85d631fc627214db4410ae06a4cb9,Nissan,[],,,,,Nissan Sentra,,,Sentra,,False,Sentra,,,,True,,[],[],,Nissan
51a2c6c2e3b0eed1c9ba2fce50034a07,Nissan,[],,,,,Nissan Sunny,,,Sunny,,False,Sunny,,,,True,,[],[],,Nissan
b7deca120c63ac5d22baf608f0c0a16d,Nissan,[],,,,,Nissan Sunny,,,Sunny,,False,Sunny,,,,True,,[],[],,Nissan
dda6eef2a50ab6b88c8fb2fd2c225727,Nissan,"[{'name': 'FuelTankVolume', 'value_localized': '41 model.specification.FuelTankVolume.unit(1)', 'value': '41', 'name_localized': 'Fuel Tank Volume', 'icon_localized': 'model.specification.FuelTankVolume.default_icon', 'value_parsed': 41, 'id': 'dda6eef2a50ab6b88c8fb2fd2c225727_FuelTankVolume'}]",,,,32104,Nissan Sunny,30d,,Sunny,,False,Sunny,,,,True,,[],[],,Nissan
6a64b883b9b9449a2b1b64d0a5654841,Nissan,[],,,,,Nissan Versa,,,Versa,,False,Versa,,,,True,,[],[],,Nissan
