first_maintenance_mileage,image_pin_url_2x,code,default_tags,model_specifications,maintenance_mileage,intermediate_maintenance_mileage,fuel_cap_side,registry_manufacturer,fuel_distance_enabled,deprecated,image_pin_url_3x,registry_model,short_name,image_map_url_2x,name,fuel_type,image_large_url,image_small_url,manufacturer,image_map_url_3x,tyres_info
,,57c295bc44376d03645fdeaa4ec69cc4,[],[],,,,BMW,True,False,,430i Convertible,430i Convertible,,BMW 430i Convertible,,,,BMW,,[]
,,0d3545decba2313435d140df8228a8b4,[],[],,,,Dodge,True,False,,Challenger V8,Challenger V8,,Dodge Challenger V8,,,,Dodge,,[]
,,cc3ccc605536b5b4de0fe7cd68f0ffdc,[],[],,,,Dodge,True,False,,Challenger V8,Challenger V8,,Dodge Challenger V8,,,,Dodge,,[]
,,a5a1d3ea89f3b019c9a67732a226fe73,[],[],,,,Ford,True,False,,Mustang V4,Mustang V4,,Ford Mustang V4,,,,Ford,,[]
,,5504c7d281d8c14ea3d8cfbeaa70f334,[],[],,,,Ford,True,False,,Mustang V8,Mustang V8,,Ford Mustang V8,,,,Ford,,[]
,,847457a9022b44ae014a98412c0e038d,[],[],,,,Mercedes,True,False,,C300 coupe,C300 coupe,,Mercedes C300 coupe,,,,Mercedes,,[]
,,3c08c12c54d80bf790f4c681c54c8bab,[],[],,,,Mercedes Benz,True,False,,A220,A220,,Mercedes Benz A220,,,,Mercedes Benz,,[]
,,9702fda15882f0e546f039006d41335b,[],[],,,,Mercedes Benz,True,False,,C43 amg,C43 amg,,Mercedes Benz C43 amg,,,,Mercedes Benz,,[]
,,078b1b1fe0bbb0c401fab41949c84342,[],[],,,,Mercedes Benz,True,False,,E300,E300,,Mercedes Benz E300,,,,Mercedes Benz,,[]
,,b01339cc6f908f65c479c8a0da40a0a4,[],[],,,,Mercedes Benz,True,False,,GLA250,GLA250,,Mercedes Benz GLA250,,,,Mercedes Benz,,[]
,,27a40ff4f38293efe5d4d8e3b8b5b7f7,[],[],,,,Mercedes Benz,True,False,,GLE450,GLE450,,Mercedes Benz GLE450,,,,Mercedes Benz,,[]
,,891302c8d0b2b4b958c38a3fb4e30359,[],[],,,,Nissan,True,False,,Patrol,Patrol,,Nissan Patrol,,,,Nissan,,[]
,,cb4d3e31478c7419db77f13bee07ad69,[],[],,,,Porsche,True,False,,718 boxster,718 boxster,,Porsche 718 boxster,,,,Porsche,,[]
,,74710638f33ed8035083de2d6e181576,[],[],,,,Range Rover,True,False,,Evoque,Evoque,,Range Rover Evoque,,,,Range Rover,,[]
