manufacturer,image_pin_url_3x,model_specifications,fuel_type,short_name,image_map_url_3x,maintenance_mileage,fuel_distance_enabled,registry_model,image_large_url,registry_manufacturer,intermediate_maintenance_mileage,image_map_url_2x,fuel_cap_side,image_small_url,default_tags,image_pin_url_2x,tyres_info,deprecated,first_maintenance_mileage,name,code
BMW,,[],,430i Convertible,,,True,430i Convertible,,BMW,,,,,[],,[],False,,BMW 430i Convertible,57c295bc44376d03645fdeaa4ec69cc4
Dodge,,[],,Challenger V8,,,True,Challenger V8,,Dodge,,,,,[],,[],False,,Dodge Challenger V8,0d3545decba2313435d140df8228a8b4
Dodge,,[],,Challenger V8,,,True,Challenger V8,,Dodge,,,,,[],,[],False,,Dodge Challenger V8,cc3ccc605536b5b4de0fe7cd68f0ffdc
Ford,,[],,Mustang V4,,,True,Mustang V4,,Ford,,,,,[],,[],False,,Ford Mustang V4,a5a1d3ea89f3b019c9a67732a226fe73
Ford,,[],,Mustang V8,,,True,Mustang V8,,Ford,,,,,[],,[],False,,Ford Mustang V8,5504c7d281d8c14ea3d8cfbeaa70f334
Mercedes,,[],,C300 coupe,,,True,C300 coupe,,Mercedes,,,,,[],,[],False,,Mercedes C300 coupe,847457a9022b44ae014a98412c0e038d
Mercedes Benz,,[],,A220,,,True,A220,,Mercedes Benz,,,,,[],,[],False,,Mercedes Benz A220,3c08c12c54d80bf790f4c681c54c8bab
Mercedes Benz,,[],,C43 amg,,,True,C43 amg,,Mercedes Benz,,,,,[],,[],False,,Mercedes Benz C43 amg,9702fda15882f0e546f039006d41335b
Mercedes Benz,,[],,E300,,,True,E300,,Mercedes Benz,,,,,[],,[],False,,Mercedes Benz E300,078b1b1fe0bbb0c401fab41949c84342
Mercedes Benz,,[],,GLA250,,,True,GLA250,,Mercedes Benz,,,,,[],,[],False,,Mercedes Benz GLA250,b01339cc6f908f65c479c8a0da40a0a4
Mercedes Benz,,[],,GLE450,,,True,GLE450,,Mercedes Benz,,,,,[],,[],False,,Mercedes Benz GLE450,27a40ff4f38293efe5d4d8e3b8b5b7f7
Nissan,,[],,Patrol,,,True,Patrol,,Nissan,,,,,[],,[],False,,Nissan Patrol,891302c8d0b2b4b958c38a3fb4e30359
Porsche,,[],,718 boxster,,,True,718 boxster,,Porsche,,,,,[],,[],False,,Porsche 718 boxster,cb4d3e31478c7419db77f13bee07ad69
Range Rover,,[],,Evoque,,,True,Evoque,,Range Rover,,,,,[],,[],False,,Range Rover Evoque,74710638f33ed8035083de2d6e181576
