first_maintenance_mileage,image_pin_url_2x,code,default_tags,model_specifications,maintenance_mileage,intermediate_maintenance_mileage,fuel_cap_side,registry_manufacturer,fuel_distance_enabled,deprecated,image_pin_url_3x,registry_model,short_name,image_map_url_2x,name,fuel_type,image_large_url,image_small_url,manufacturer,image_map_url_3x,tyres_info
,,6def3eb61af3ef6fbf48e88b2ac1da06,[],[],,,,Bentley,True,False,,Bentayga,Bentayga,,Bentley Bentayga,,,,Bentley,,[]
,,7bc05025018974a3e9e4848633f8d0e2,[],[],,,,Cadillac,True,False,,Escalade,Escalade,,Cadillac Escalade,,,,Cadillac,,[]
,,9152e90b9c58f722248833f50bc9a57a,[],[],,,,Chevrolet,True,False,,Corvette,Corvette,,Chevrolet Corvette,,,,Chevrolet,,[]
,,c7a6259ba50079ce00bc477f8688af58,[],[],,,,Ferrari,True,False,,488 Spider,488 Spider,,Ferrari 488 Spider,,,,Ferrari,,[]
,,aced4c83ab9f83c41b237d2540528705,[],[],,,,GMC,True,False,,Yukon,Yukon,,GMC Yukon,,,,GMC,,[]
,,0235aee9f7c6780a39605608ae522755,[],[],,,,Mercedes,True,False,,C200,C200,,Mercedes C200,,,,Mercedes,,[]
,,6c03e30aa01fad0ea5159c1347127041,[],[],,,,Mercedes,True,False,,C200,C200,,Mercedes C200,,,,Mercedes,,[]
,,021573c4bc959a242c215e3a09d142d6,[],[],,,,Mercedes,True,False,,G63,G63,,Mercedes G63,,,,Mercedes,,[]
,,6cd7c6a8e4c491759a5ff17dc450680c,[],[],,,,Mercedes,True,False,,G63 Urban,G63 Urban,,Mercedes G63 Urban,,,,Mercedes,,[]
,,b31c4371e7e3f63cbc489aca97cdbafa,[],[],,,,Mercedes,True,False,,S560,S560,,Mercedes S560,,,,Mercedes,,[]
,,524d9de05093f2577767ce57884a80ba,[],[],,,,Nissan,True,False,,Patrol,Patrol,,Nissan Patrol,,,,Nissan,,[]
,,4272aa643d8e2c938c2c56238df3f03f,[],[],,,,Nissan,True,False,,X-Trail,X-Trail,,Nissan X-Trail,,,,Nissan,,[]
,,cab00d7e1a0a76783b123753b9425e1e,[],[],,,,Porsche,True,False,,Cabrio,Cabrio,,Porsche Cabrio,,,,Porsche,,[]
,,d7755316be637622191d00ad2760859a,[],[],,,,Range Rover,True,False,,SVR,SVR,,Range Rover SVR,,,,Range Rover,,[]
,,c13a583d26536c6bc44afcd1f620157c,[],[],,,,Range Rover,True,False,,Velar,Velar,,Range Rover Velar,,,,Range Rover,,[]
,,2a13c8e35d847eacd881fe62191740cc,[],[],,,,Rolls Royce,True,False,,Cullinan,Cullinan,,Rolls Royce Cullinan,,,,Rolls Royce,,[]
,,e01a51cc30a2c25b24e2573645eaf9b9,[],[],,,,Rolls Royce,True,False,,Dawn,Dawn,,Rolls Royce Dawn,,,,Rolls Royce,,[]
