deprecated,manufacturer,tyres_info,model_specifications,image_pin_url_3x,first_maintenance_mileage,fuel_distance_enabled,default_tags,fuel_type,image_small_url,registry_model,registry_manufacturer,intermediate_maintenance_mileage,image_map_url_3x,fuel_cap_side,short_name,maintenance_mileage,code,image_map_url_2x,image_pin_url_2x,image_large_url,name
False,Bentley,[],[],,,True,[],,,Bentayga,Bentley,,,,Bentayga,,6def3eb61af3ef6fbf48e88b2ac1da06,,,,Bentley Bentayga
False,Cadillac,[],[],,,True,[],,,Escalade,Cadillac,,,,Escalade,,7bc05025018974a3e9e4848633f8d0e2,,,,Cadillac Escalade
False,Chevrolet,[],[],,,True,[],,,Corvette,Chevrolet,,,,Corvette,,9152e90b9c58f722248833f50bc9a57a,,,,Chevrolet Corvette
False,Ferrari,[],[],,,True,[],,,488 Spider,Ferrari,,,,488 Spider,,c7a6259ba50079ce00bc477f8688af58,,,,Ferrari 488 Spider
False,GMC,[],[],,,True,[],,,Yukon,GMC,,,,Yukon,,aced4c83ab9f83c41b237d2540528705,,,,GMC Yukon
False,Mercedes,[],[],,,True,[],,,C200,Mercedes,,,,C200,,0235aee9f7c6780a39605608ae522755,,,,Mercedes C200
False,Mercedes,[],[],,,True,[],,,C200,Mercedes,,,,C200,,6c03e30aa01fad0ea5159c1347127041,,,,Mercedes C200
False,Mercedes,[],[],,,True,[],,,G63,Mercedes,,,,G63,,021573c4bc959a242c215e3a09d142d6,,,,Mercedes G63
False,Mercedes,[],[],,,True,[],,,G63 Urban,Mercedes,,,,G63 Urban,,6cd7c6a8e4c491759a5ff17dc450680c,,,,Mercedes G63 Urban
False,Mercedes,[],[],,,True,[],,,S560,Mercedes,,,,S560,,b31c4371e7e3f63cbc489aca97cdbafa,,,,Mercedes S560
False,Nissan,[],[],,,True,[],,,Patrol,Nissan,,,,Patrol,,524d9de05093f2577767ce57884a80ba,,,,Nissan Patrol
False,Nissan,[],[],,,True,[],,,X-Trail,Nissan,,,,X-Trail,,4272aa643d8e2c938c2c56238df3f03f,,,,Nissan X-Trail
False,Porsche,[],[],,,True,[],,,Cabrio,Porsche,,,,Cabrio,,cab00d7e1a0a76783b123753b9425e1e,,,,Porsche Cabrio
False,Range Rover,[],[],,,True,[],,,SVR,Range Rover,,,,SVR,,d7755316be637622191d00ad2760859a,,,,Range Rover SVR
False,Range Rover,[],[],,,True,[],,,Velar,Range Rover,,,,Velar,,c13a583d26536c6bc44afcd1f620157c,,,,Range Rover Velar
False,Rolls Royce,[],[],,,True,[],,,Cullinan,Rolls Royce,,,,Cullinan,,2a13c8e35d847eacd881fe62191740cc,,,,Rolls Royce Cullinan
False,Rolls Royce,[],[],,,True,[],,,Dawn,Rolls Royce,,,,Dawn,,e01a51cc30a2c25b24e2573645eaf9b9,,,,Rolls Royce Dawn
