manufacturer,image_pin_url_3x,model_specifications,fuel_type,short_name,image_map_url_3x,maintenance_mileage,fuel_distance_enabled,registry_model,image_large_url,registry_manufacturer,intermediate_maintenance_mileage,image_map_url_2x,fuel_cap_side,image_small_url,default_tags,image_pin_url_2x,tyres_info,deprecated,first_maintenance_mileage,name,code
Bentley,,[],,Bentayga,,,True,Bentayga,,Bentley,,,,,[],,[],False,,Bentley Bentayga,6def3eb61af3ef6fbf48e88b2ac1da06
Cadillac,,[],,Escalade,,,True,Escalade,,Cadillac,,,,,[],,[],False,,Cadillac Escalade,7bc05025018974a3e9e4848633f8d0e2
Chevrolet,,[],,Corvette,,,True,Corvette,,Chevrolet,,,,,[],,[],False,,Chevrolet Corvette,9152e90b9c58f722248833f50bc9a57a
Ferrari,,[],,488 Spider,,,True,488 Spider,,Ferrari,,,,,[],,[],False,,Ferrari 488 Spider,c7a6259ba50079ce00bc477f8688af58
GMC,,[],,Yukon,,,True,Yukon,,GMC,,,,,[],,[],False,,GMC Yukon,aced4c83ab9f83c41b237d2540528705
Mercedes,,[],,C200,,,True,C200,,Mercedes,,,,,[],,[],False,,Mercedes C200,0235aee9f7c6780a39605608ae522755
Mercedes,,[],,C200,,,True,C200,,Mercedes,,,,,[],,[],False,,Mercedes C200,6c03e30aa01fad0ea5159c1347127041
Mercedes,,[],,G63,,,True,G63,,Mercedes,,,,,[],,[],False,,Mercedes G63,021573c4bc959a242c215e3a09d142d6
Mercedes,,[],,G63 Urban,,,True,G63 Urban,,Mercedes,,,,,[],,[],False,,Mercedes G63 Urban,6cd7c6a8e4c491759a5ff17dc450680c
Mercedes,,[],,S560,,,True,S560,,Mercedes,,,,,[],,[],False,,Mercedes S560,b31c4371e7e3f63cbc489aca97cdbafa
Nissan,,[],,Patrol,,,True,Patrol,,Nissan,,,,,[],,[],False,,Nissan Patrol,524d9de05093f2577767ce57884a80ba
Nissan,,[],,X-Trail,,,True,X-Trail,,Nissan,,,,,[],,[],False,,Nissan X-Trail,4272aa643d8e2c938c2c56238df3f03f
Porsche,,[],,Cabrio,,,True,Cabrio,,Porsche,,,,,[],,[],False,,Porsche Cabrio,cab00d7e1a0a76783b123753b9425e1e
Range Rover,,[],,SVR,,,True,SVR,,Range Rover,,,,,[],,[],False,,Range Rover SVR,d7755316be637622191d00ad2760859a
Range Rover,,[],,Velar,,,True,Velar,,Range Rover,,,,,[],,[],False,,Range Rover Velar,c13a583d26536c6bc44afcd1f620157c
Rolls Royce,,[],,Cullinan,,,True,Cullinan,,Rolls Royce,,,,,[],,[],False,,Rolls Royce Cullinan,2a13c8e35d847eacd881fe62191740cc
Rolls Royce,,[],,Dawn,,,True,Dawn,,Rolls Royce,,,,,[],,[],False,,Rolls Royce Dawn,e01a51cc30a2c25b24e2573645eaf9b9
