first_maintenance_mileage,image_pin_url_2x,code,default_tags,model_specifications,maintenance_mileage,intermediate_maintenance_mileage,fuel_cap_side,registry_manufacturer,fuel_distance_enabled,deprecated,image_pin_url_3x,registry_model,short_name,image_map_url_2x,name,fuel_type,image_large_url,image_small_url,manufacturer,image_map_url_3x,tyres_info
,,aaec298088b4337ed3330082a033ce11,[],[],,,,AUDI,True,False,,A3,A3,,AUDI A3,,,,AUDI,,[]
,,41296a5f64cde9f007d3a43767dedbfc,[],[],,,,AUDI,True,False,,A6,A6,,AUDI A6,,,,AUDI,,[]
,,84fb99d5f66a0a715162a63ac72b16a3,[],[],,,,AUDI,True,False,,A8,A8,,AUDI A8,,,,AUDI,,[]
,,1c7301f69552a83e0e9af94357d34439,[],[],,,,AUDI,True,False,,Q3,Q3,,AUDI Q3,,,,AUDI,,[]
,,8a3e62bbb600d4908c273a879a8c99a5,[],[],,,,AUDI,True,False,,Q5,Q5,,AUDI Q5,,,,AUDI,,[]
,,ac16a6fd8411bd6bf30ffe0039dfed41,[],[],,,,AUDI,True,False,,Q7,Q7,,AUDI Q7,,,,AUDI,,[]
,,81bc6594d040996fe15c01aff6f37639,[],[],,,,AUDI,True,False,,Q8,Q8,,AUDI Q8,,,,AUDI,,[]
,,cefa63e61caf9aafcc6b44b659332e97,[],[],,,,AUDI,True,False,,R8,R8,,AUDI R8,,,,AUDI,,[]
,,2e5e3f5f832738e6fa002f4fa076c683,[],[],,,,AUDI,True,False,,RS Q3,RS Q3,,AUDI RS Q3,,,,AUDI,,[]
,,c44f6a2ce2fcfe26c8b6b9c350f2dc69,[],[],,,,AUDI,True,False,,RS Q8,RS Q8,,AUDI RS Q8,,,,AUDI,,[]
,,9746561f9bb16f3fe66189fe02839fb4,[],[],,,,AUDI,True,False,,S3,S3,,AUDI S3,,,,AUDI,,[]
,,92fcd2e57235b7bb94736d653a7f68f6,[],[],,,,BENTLEY,True,False,,BENTAYGA,BENTAYGA,,BENTLEY BENTAYGA,,,,BENTLEY,,[]
,,be827e7fb9cd090139209e70644304dd,[],[],,,,BENTLEY,True,False,,CONTINENTAL,CONTINENTAL,,BENTLEY CONTINENTAL,,,,BENTLEY,,[]
,,13b7895dafc5941ac4f005fae4941126,[],[],,,,BENTLEY,True,False,,GT,GT,,BENTLEY GT,,,,BENTLEY,,[]
,,5eaa406d877aff2c67755bf498dc2cb7,[],[],,,,BMW,True,False,,318,318,,BMW 318,,,,BMW,,[]
,,ee94331b234d2f84d2eed00abb0a13cc,[],[],,,,BMW,True,False,,320 I,320 I,,BMW 320 I,,,,BMW,,[]
