deprecated,manufacturer,tyres_info,model_specifications,image_pin_url_3x,first_maintenance_mileage,fuel_distance_enabled,default_tags,fuel_type,image_small_url,registry_model,registry_manufacturer,intermediate_maintenance_mileage,image_map_url_3x,fuel_cap_side,short_name,maintenance_mileage,code,image_map_url_2x,image_pin_url_2x,image_large_url,name
False,AUDI,[],[],,,True,[],,,A3,AUDI,,,,A3,,aaec298088b4337ed3330082a033ce11,,,,AUDI A3
False,AUDI,[],[],,,True,[],,,A6,AUDI,,,,A6,,41296a5f64cde9f007d3a43767dedbfc,,,,AUDI A6
False,AUDI,[],[],,,True,[],,,A8,AUDI,,,,A8,,84fb99d5f66a0a715162a63ac72b16a3,,,,AUDI A8
False,AUDI,[],[],,,True,[],,,Q3,AUDI,,,,Q3,,1c7301f69552a83e0e9af94357d34439,,,,AUDI Q3
False,AUDI,[],[],,,True,[],,,Q5,AUDI,,,,Q5,,8a3e62bbb600d4908c273a879a8c99a5,,,,AUDI Q5
False,AUDI,[],[],,,True,[],,,Q7,AUDI,,,,Q7,,ac16a6fd8411bd6bf30ffe0039dfed41,,,,AUDI Q7
False,AUDI,[],[],,,True,[],,,Q8,AUDI,,,,Q8,,81bc6594d040996fe15c01aff6f37639,,,,AUDI Q8
False,AUDI,[],[],,,True,[],,,R8,AUDI,,,,R8,,cefa63e61caf9aafcc6b44b659332e97,,,,AUDI R8
False,AUDI,[],[],,,True,[],,,RS Q3,AUDI,,,,RS Q3,,2e5e3f5f832738e6fa002f4fa076c683,,,,AUDI RS Q3
False,AUDI,[],[],,,True,[],,,RS Q8,AUDI,,,,RS Q8,,c44f6a2ce2fcfe26c8b6b9c350f2dc69,,,,AUDI RS Q8
False,AUDI,[],[],,,True,[],,,S3,AUDI,,,,S3,,9746561f9bb16f3fe66189fe02839fb4,,,,AUDI S3
False,BENTLEY,[],[],,,True,[],,,BENTAYGA,BENTLEY,,,,BENTAYGA,,92fcd2e57235b7bb94736d653a7f68f6,,,,BENTLEY BENTAYGA
False,BENTLEY,[],[],,,True,[],,,CONTINENTAL,BENTLEY,,,,CONTINENTAL,,be827e7fb9cd090139209e70644304dd,,,,BENTLEY CONTINENTAL
False,BENTLEY,[],[],,,True,[],,,GT,BENTLEY,,,,GT,,13b7895dafc5941ac4f005fae4941126,,,,BENTLEY GT
False,BMW,[],[],,,True,[],,,318,BMW,,,,318,,5eaa406d877aff2c67755bf498dc2cb7,,,,BMW 318
False,BMW,[],[],,,True,[],,,320 I,BMW,,,,320 I,,ee94331b234d2f84d2eed00abb0a13cc,,,,BMW 320 I
