manufacturer,image_pin_url_3x,model_specifications,fuel_type,short_name,image_map_url_3x,maintenance_mileage,fuel_distance_enabled,registry_model,image_large_url,registry_manufacturer,intermediate_maintenance_mileage,image_map_url_2x,fuel_cap_side,image_small_url,default_tags,image_pin_url_2x,tyres_info,deprecated,first_maintenance_mileage,name,code
AUDI,,[],,A3,,,True,A3,,AUDI,,,,,[],,[],False,,AUDI A3,aaec298088b4337ed3330082a033ce11
AUDI,,[],,A6,,,True,A6,,AUDI,,,,,[],,[],False,,AUDI A6,41296a5f64cde9f007d3a43767dedbfc
AUDI,,[],,A8,,,True,A8,,AUDI,,,,,[],,[],False,,AUDI A8,84fb99d5f66a0a715162a63ac72b16a3
AUDI,,[],,Q3,,,True,Q3,,AUDI,,,,,[],,[],False,,AUDI Q3,1c7301f69552a83e0e9af94357d34439
AUDI,,[],,Q5,,,True,Q5,,AUDI,,,,,[],,[],False,,AUDI Q5,8a3e62bbb600d4908c273a879a8c99a5
AUDI,,[],,Q7,,,True,Q7,,AUDI,,,,,[],,[],False,,AUDI Q7,ac16a6fd8411bd6bf30ffe0039dfed41
AUDI,,[],,Q8,,,True,Q8,,AUDI,,,,,[],,[],False,,AUDI Q8,81bc6594d040996fe15c01aff6f37639
AUDI,,[],,R8,,,True,R8,,AUDI,,,,,[],,[],False,,AUDI R8,cefa63e61caf9aafcc6b44b659332e97
AUDI,,[],,RS Q3,,,True,RS Q3,,AUDI,,,,,[],,[],False,,AUDI RS Q3,2e5e3f5f832738e6fa002f4fa076c683
AUDI,,[],,RS Q8,,,True,RS Q8,,AUDI,,,,,[],,[],False,,AUDI RS Q8,c44f6a2ce2fcfe26c8b6b9c350f2dc69
AUDI,,[],,S3,,,True,S3,,AUDI,,,,,[],,[],False,,AUDI S3,9746561f9bb16f3fe66189fe02839fb4
BENTLEY,,[],,BENTAYGA,,,True,BENTAYGA,,BENTLEY,,,,,[],,[],False,,BENTLEY BENTAYGA,92fcd2e57235b7bb94736d653a7f68f6
BENTLEY,,[],,CONTINENTAL,,,True,CONTINENTAL,,BENTLEY,,,,,[],,[],False,,BENTLEY CONTINENTAL,be827e7fb9cd090139209e70644304dd
BENTLEY,,[],,GT,,,True,GT,,BENTLEY,,,,,[],,[],False,,BENTLEY GT,13b7895dafc5941ac4f005fae4941126
BMW,,[],,318,,,True,318,,BMW,,,,,[],,[],False,,BMW 318,5eaa406d877aff2c67755bf498dc2cb7
BMW,,[],,320 I,,,True,320 I,,BMW,,,,,[],,[],False,,BMW 320 I,ee94331b234d2f84d2eed00abb0a13cc
BMW,,[],,430,,,True,430,,BMW,,,,,[],,[],False,,BMW 430,9ce50229967f7250c6416a96428d5461
BMW,,[],,440,,,True,440,,BMW,,,,,[],,[],False,,BMW 440,611ca0acddae76e9adae9103d41e75c0
