first_maintenance_mileage,image_pin_url_2x,code,default_tags,model_specifications,maintenance_mileage,intermediate_maintenance_mileage,fuel_cap_side,registry_manufacturer,fuel_distance_enabled,deprecated,image_pin_url_3x,registry_model,short_name,image_map_url_2x,name,fuel_type,image_large_url,image_small_url,manufacturer,image_map_url_3x,tyres_info
,,2a40eddb3a0ea7d714d0c7df4733eee9,[],[],,,,AUDI,True,False,,A3,A3,,AUDI A3,,,,AUDI,,[]
,,56f1d590d837c8ede69462737746b888,[],[],,,,AUDI,True,False,,A3,A3,,AUDI A3,,,,AUDI,,[]
,,73b63e5f531db13ee36dd455a8426d71,[],[],,,,AUDI,True,False,,A3,A3,,AUDI A3,,,,AUDI,,[]
,,a6dbc82a5a2e878b4c16316ccc69616f,[],[],,,,AUDI,True,False,,A6,A6,,AUDI A6,,,,AUDI,,[]
,,a9a7b5c987b238d4ff6c0f1a376ca189,[],[],,,,AUDI,True,False,,A6,A6,,AUDI A6,,,,AUDI,,[]
,,b23444c5567b59b69c2a93ad1929de4f,[],[],,,,AUDI,True,False,,Q8,Q8,,AUDI Q8,,,,AUDI,,[]
,,5e491be391f79292e33d57fb88f6b810,[],[],,,,Audi,True,False,,A3,A3,,Audi A3,,,,Audi,,[]
,,7ceb14c03dc1ddcdc89ee4aacf89f6ee,[],[],,,,Audi,True,False,,A6,A6,,Audi A6,,,,Audi,,[]
,,df260f617e27148961ae6e205777d96b,[],[],,,,BMW,True,False,,318,318,,BMW 318,,,,BMW,,[]
,,ce9ab987792a941ca1c13e2969d1ca29,[],[],,,,BMW,True,False,,318I,318I,,BMW 318I,,,,BMW,,[]
,,b26d738992e4a72c5d1059f903d2cc20,[],[],,,,BMW,True,False,,420,420,,BMW 420,,,,BMW,,[]
,,ac771c134f6a75cffd1b5fc1b094913e,[],[],,,,BMW,True,False,,430i,430i,,BMW 430i,,,,BMW,,[]
,,a31397550c61a995518dd7bb705f7418,[],[],,,,BMW,True,False,,520,520,,BMW 520,,,,BMW,,[]
,,76926635dc463a2de0a12f3e15fe532d,[],[],,,,BMW,True,False,,730,730,,BMW 730,,,,BMW,,[]
,,f8ac3d56834d15f6bb1494f5a779cd19,[],[],,,,BMW,True,False,,X2,X2,,BMW X2,,,,BMW,,[]
,,fb23e850fb298d5cf9938bc1a9c33a32,[],[],,,,BMW,True,False,,X2,X2,,BMW X2,,,,BMW,,[]
,,0ce396cf32a7aa94d53c728864ebd02c,[],[],,,,BMW,True,False,,Z4,Z4,,BMW Z4,,,,BMW,,[]
,,49b938ba1ff52eb1391079732a4a3196,[],[],,,,CADILLAC,True,False,,ATS,ATS,,CADILLAC ATS,,,,CADILLAC,,[]
,,0acdacde3716f97f3d43c83a0666fc3a,[],[],,,,CADILLAC,True,False,,CT4,CT4,,CADILLAC CT4,,,,CADILLAC,,[]
,,5dc5cb990979ec78bf65bbdb1e3ec2e1,[],[],,,,CADILLAC,True,False,,ESCALADE,ESCALADE,,CADILLAC ESCALADE,,,,CADILLAC,,[]
,,5360e9714a4c45fcdf8980d0c5117cef,[],[],,,,CHEVROLET,True,False,,2017,2017,,CHEVROLET 2017,,,,CHEVROLET,,[]
,,3ea90f9735d2be9b712c70477f7a0cab,[],[],,,,CHEVROLET,True,False,,CAPTIVA,CAPTIVA,,CHEVROLET CAPTIVA,,,,CHEVROLET,,[]
,,c71a930196787fb317af10bb70db34db,[],[],,,,CHEVROLET,True,False,,CORVETTE,CORVETTE,,CHEVROLET CORVETTE,,,,CHEVROLET,,[]
