deprecated,manufacturer,tyres_info,model_specifications,image_pin_url_3x,first_maintenance_mileage,fuel_distance_enabled,default_tags,fuel_type,image_small_url,registry_model,registry_manufacturer,intermediate_maintenance_mileage,image_map_url_3x,fuel_cap_side,short_name,maintenance_mileage,code,image_map_url_2x,image_pin_url_2x,image_large_url,name
False,AUDI,[],[],,,True,[],,,A3,AUDI,,,,A3,,2a40eddb3a0ea7d714d0c7df4733eee9,,,,AUDI A3
False,AUDI,[],[],,,True,[],,,A3,AUDI,,,,A3,,56f1d590d837c8ede69462737746b888,,,,AUDI A3
False,AUDI,[],[],,,True,[],,,A3,AUDI,,,,A3,,73b63e5f531db13ee36dd455a8426d71,,,,AUDI A3
False,AUDI,[],[],,,True,[],,,A6,AUDI,,,,A6,,a6dbc82a5a2e878b4c16316ccc69616f,,,,AUDI A6
False,AUDI,[],[],,,True,[],,,A6,AUDI,,,,A6,,a9a7b5c987b238d4ff6c0f1a376ca189,,,,AUDI A6
False,AUDI,[],[],,,True,[],,,Q8,AUDI,,,,Q8,,b23444c5567b59b69c2a93ad1929de4f,,,,AUDI Q8
False,Audi,[],[],,,True,[],,,A3,Audi,,,,A3,,5e491be391f79292e33d57fb88f6b810,,,,Audi A3
False,Audi,[],[],,,True,[],,,A6,Audi,,,,A6,,7ceb14c03dc1ddcdc89ee4aacf89f6ee,,,,Audi A6
False,BMW,[],[],,,True,[],,,318,BMW,,,,318,,df260f617e27148961ae6e205777d96b,,,,BMW 318
False,BMW,[],[],,,True,[],,,318I,BMW,,,,318I,,ce9ab987792a941ca1c13e2969d1ca29,,,,BMW 318I
False,BMW,[],[],,,True,[],,,420,BMW,,,,420,,b26d738992e4a72c5d1059f903d2cc20,,,,BMW 420
False,BMW,[],[],,,True,[],,,430i,BMW,,,,430i,,ac771c134f6a75cffd1b5fc1b094913e,,,,BMW 430i
False,BMW,[],[],,,True,[],,,520,BMW,,,,520,,a31397550c61a995518dd7bb705f7418,,,,BMW 520
False,BMW,[],[],,,True,[],,,730,BMW,,,,730,,76926635dc463a2de0a12f3e15fe532d,,,,BMW 730
False,BMW,[],[],,,True,[],,,X2,BMW,,,,X2,,f8ac3d56834d15f6bb1494f5a779cd19,,,,BMW X2
False,BMW,[],[],,,True,[],,,X2,BMW,,,,X2,,fb23e850fb298d5cf9938bc1a9c33a32,,,,BMW X2
False,BMW,[],[],,,True,[],,,Z4,BMW,,,,Z4,,0ce396cf32a7aa94d53c728864ebd02c,,,,BMW Z4
False,CADILLAC,[],[],,,True,[],,,ATS,CADILLAC,,,,ATS,,49b938ba1ff52eb1391079732a4a3196,,,,CADILLAC ATS
False,CADILLAC,[],[],,,True,[],,,CT4,CADILLAC,,,,CT4,,0acdacde3716f97f3d43c83a0666fc3a,,,,CADILLAC CT4
False,CADILLAC,[],[],,,True,[],,,ESCALADE,CADILLAC,,,,ESCALADE,,5dc5cb990979ec78bf65bbdb1e3ec2e1,,,,CADILLAC ESCALADE
False,CHEVROLET,[],[],,,True,[],,,2017,CHEVROLET,,,,2017,,5360e9714a4c45fcdf8980d0c5117cef,,,,CHEVROLET 2017
False,CHEVROLET,[],[],,,True,[],,,CAPTIVA,CHEVROLET,,,,CAPTIVA,,3ea90f9735d2be9b712c70477f7a0cab,,,,CHEVROLET CAPTIVA
False,CHEVROLET,[],[],,,True,[],,,CORVETTE,CHEVROLET,,,,CORVETTE,,c71a930196787fb317af10bb70db34db,,,,CHEVROLET CORVETTE
False,CHEVROLET,[],[],,,True,[],,,IMPALA,CHEVROLET,,,,IMPALA,,b22d6bfe522dc9defd45b1ae8624831e,,,,CHEVROLET IMPALA
False,CHEVROLET,[],[],,,True,[],,,MALIBU,CHEVROLET,,,,MALIBU,,0db4dfff13ebc46fbc8a7be45a554a97,,,,CHEVROLET MALIBU
False,CHEVROLET,[],[],,,True,[],,,MALIBU,CHEVROLET,,,,MALIBU,,6075863ba2f94d380dde7f062ab36a47,,,,CHEVROLET MALIBU
False,CHEVROLET,[],[],,,True,[],,,MALIBU,CHEVROLET,,,,MALIBU,,722cb7a2027241d2f1bce1752d348c52,,,,CHEVROLET MALIBU
False,CHEVROLET,[],[],,,True,[],,,MALIBU,CHEVROLET,,,,MALIBU,,fa7616f21d95e6dfc9d8265a578f6f32,,,,CHEVROLET MALIBU
False,CHEVROLET,[],[],,,True,[],,,TRAIBLAZER,CHEVROLET,,,,TRAIBLAZER,,a7a30f96bd56cefe505004e71487590c,,,,CHEVROLET TRAIBLAZER
False,CHEVROLET,[],[],,,True,[],,,TRAIL BLAZER,CHEVROLET,,,,TRAIL BLAZER,,549a7bf406ae8128930b34c4944be983,,,,CHEVROLET TRAIL BLAZER
False,CITROEN,[],[],,,True,[],,,C4,CITROEN,,,,C4,,b005fa8459e7802a24e1f3d2b9f20d98,,,,CITROEN C4
False,CITROEN,[],[],,,True,[],,,SPACETOURER,CITROEN,,,,SPACETOURER,,cc6565a662e7d96d043d52028bc8d10c,,,,CITROEN SPACETOURER
False,Chevrolet,[],[],,,True,[],,,Camaro,Chevrolet,,,,Camaro,,dfa7162ad6853db0ed469c8cec71443f,,,,Chevrolet Camaro
False,DODGE,[],[],,,True,[],,,CHALLENGER,DODGE,,,,CHALLENGER,,9808742f7476f51f1f05145aa1711866,,,,DODGE CHALLENGER
False,DODGE,[],[],,,True,[],,,CHALLENGER,DODGE,,,,CHALLENGER,,bfdc8ee5d2b7d8c37ee523aa8e197450,,,,DODGE CHALLENGER
False,DODGE,[],[],,,True,[],,,CHARGER,DODGE,,,,CHARGER,,83e7c01a05d147fafc6bea1411be02d1,,,,DODGE CHARGER
False,FORD,[],[],,,True,[],,,EXPLORER,FORD,,,,EXPLORER,,272d5d039494b1a7480e068afbbffaae,,,,FORD EXPLORER
False,FORD,[],[],,,True,[],,,MUSTANG,FORD,,,,MUSTANG,,72d6d88d245b603481676cc4f1655e8f,,,,FORD MUSTANG
False,FORD,[],[],,,True,[],,,MUSTANG GT,FORD,,,,MUSTANG GT,,08028de567c72ceb5fb546ab2ff2381e,,,,FORD MUSTANG GT
False,FORD,[],[],,,True,[],,,MUSTANG GT,FORD,,,,MUSTANG GT,,912e17520c27e9014be886f0045f5351,,,,FORD MUSTANG GT
False,FORD,[],[],,,True,[],,,MUSTANG GT,FORD,,,,MUSTANG GT,,b270a7a59aaab9a4ee98365814ce800a,,,,FORD MUSTANG GT
False,FORD,[],[],,,True,[],,,MUSTANG GT,FORD,,,,MUSTANG GT,,caa94db89937c88dd4227c720cc83d9d,,,,FORD MUSTANG GT
False,FORD,[],[],,,True,[],,,TERRITORY,FORD,,,,TERRITORY,,55e10c8f84c32ee3977a1973db0fc668,,,,FORD TERRITORY
False,FORD,[],[],,,True,[],,,TERRITORY,FORD,,,,TERRITORY,,ca37e37e63e75a7a9a8d2c15112cf1fc,,,,FORD TERRITORY
False,Ford,[],[],,,True,[],,,Mustang,Ford,,,,Mustang,,a5e1e9d944733db25e7f03ad530050bb,,,,Ford Mustang
False,GMC,[],[],,,True,[],,,ACADIA,GMC,,,,ACADIA,,4747178b8cfd581b4d6bf7f7aaae90a8,,,,GMC ACADIA
False,GMC,[],[],,,True,[],,,ACADIA,GMC,,,,ACADIA,,5bcbc10afbf46ef271acbba6e759c446,,,,GMC ACADIA
False,GMC,[],[],,,True,[],,,YUKON,GMC,,,,YUKON,,0b50d067ac8ca2576da7a84d70ab0909,,,,GMC YUKON
False,GMC,[],[],,,True,[],,,YUKON,GMC,,,,YUKON,,e67a0b7de80a1192c06266886b5abb13,,,,GMC YUKON
False,GMC,[],[],,,True,[],,,YUKON DENALI,GMC,,,,YUKON DENALI,,121815bb710822991518e6b349a49cbb,,,,GMC YUKON DENALI
False,GMC,[],[],,,True,[],,,YUKON DENALI,GMC,,,,YUKON DENALI,,21659bb159fd9a0e043e635f4c6767a8,,,,GMC YUKON DENALI
False,INFINITY,[],[],,,True,[],,,Q50,INFINITY,,,,Q50,,d0d2ba14aff83cc746e3b9855b1d8ea8,,,,INFINITY Q50
False,INFINITY,[],[],,,True,[],,,Q50,INFINITY,,,,Q50,,d84e90b5c3e5b4c8fde8dfbe0fb1b336,,,,INFINITY Q50
False,JEEP,[],[],,,True,[],,,GRAND,JEEP,,,,GRAND,,345fe5c2151398b3a9889b6d0c6e3615,,,,JEEP GRAND
False,JEEP,[],[],,,True,[],,,GRAND,JEEP,,,,GRAND,,ef5bb264fb20f2a5de53e42f8c60b777,,,,JEEP GRAND
False,JEEP,[],[],,,True,[],,,WRANGLER,JEEP,,,,WRANGLER,,f4fb6d87648032ebd63f85cd39d7f735,,,,JEEP WRANGLER
False,JEEP,[],[],,,True,[],,,WRANGLER,JEEP,,,,WRANGLER,,f682f895fa1890ab54bd5bd3cc4d8382,,,,JEEP WRANGLER
False,Jeep,[],[],,,True,[],,,Wrangler,Jeep,,,,Wrangler,,c7e4fbc94671c6ca124411af0825cb69,,,,Jeep Wrangler
False,Jeep,[],[],,,True,[],,,Wrangler,Jeep,,,,Wrangler,,fb24aa2b39eef8e0fc56373d77395aa7,,,,Jeep Wrangler
False,KIA,[],[],,,True,[],,,CERATO,KIA,,,,CERATO,,30f7c9f93a8a303299ccade0d7b7027d,,,,KIA CERATO
False,KIA,[],[],,,True,[],,,CERATO,KIA,,,,CERATO,,b8c67637cb589309213f9e1038488310,,,,KIA CERATO
False,KIA,[],[],,,True,[],,,SPORTAGE,KIA,,,,SPORTAGE,,7b520281b8a6b503ae64db102833a0d6,,,,KIA SPORTAGE
False,KIA,[],[],,,True,[],,,SPORTAGE,KIA,,,,SPORTAGE,,973ace733491f92ee1a9097ef6880d7e,,,,KIA SPORTAGE
False,LAMBORGHINI,[],[],,,True,[],,,URUS,LAMBORGHINI,,,,URUS,,964453d00ed0a143cd5d5e811003046c,,,,LAMBORGHINI URUS
False,LAMBORGHINI,[],[],,,True,[],,,URUS,LAMBORGHINI,,,,URUS,,e65f36f480a18185f213c19671be3950,,,,LAMBORGHINI URUS
False,LAND ROVER,[],[],,,True,[],,,DEFENDER,LAND ROVER,,,,DEFENDER,,225175af97b91d33b8b7cc240562b19c,,,,LAND ROVER DEFENDER
False,LAND ROVER,[],[],,,True,[],,,DEFENDER,LAND ROVER,,,,DEFENDER,,9a4e63a1fd1fa90017bb722191014558,,,,LAND ROVER DEFENDER
False,LAND ROVER,[],[],,,True,[],,,DEFENDER,LAND ROVER,,,,DEFENDER,,ad50fa2dd4cf99e928931e2cd1482a6f,,,,LAND ROVER DEFENDER
False,LAND ROVER,[],[],,,True,[],,,DISCOVERY,LAND ROVER,,,,DISCOVERY,,7ef83693f7d88aeebeb0590489768af9,,,,LAND ROVER DISCOVERY
False,LOTUS,[],[],,,True,[],,,EVORA,LOTUS,,,,EVORA,,5461c867e2e4d2a2588a28f6ab819537,,,,LOTUS EVORA
False,MERCEDES,[],[],,,True,[],,,A220,MERCEDES,,,,A220,,e734bacb17e0ca5a771e70a029197344,,,,MERCEDES A220
False,MERCEDES,[],[],,,True,[],,,C200,MERCEDES,,,,C200,,e04525c98ef096d2be0ee3ad07cca434,,,,MERCEDES C200
False,MERCEDES,[],[],,,True,[],,,C300,MERCEDES,,,,C300,,8dfab3821f7091d9752970ad91b02844,,,,MERCEDES C300
False,MERCEDES,[],[],,,True,[],,,C300,MERCEDES,,,,C300,,aa3a7726ee47b9453602d1ce4b14cfe0,,,,MERCEDES C300
False,MERCEDES,[],[],,,True,[],,,C300,MERCEDES,,,,C300,,b7cd63980805738f3f015c0c35550a23,,,,MERCEDES C300
False,MERCEDES,[],[],,,True,[],,,C300,MERCEDES,,,,C300,,d5533afb33395ead32e5c9c687b55917,,,,MERCEDES C300
False,MERCEDES,[],[],,,True,[],,,C300,MERCEDES,,,,C300,,dbd688be6583be1459d7cf492e22c722,,,,MERCEDES C300
False,MERCEDES,[],[],,,True,[],,,C300,MERCEDES,,,,C300,,ed28de72a5baf94dff1cef76c7e48b66,,,,MERCEDES C300
False,MERCEDES,[],[],,,True,[],,,CLA250,MERCEDES,,,,CLA250,,ccdfcaa55eb92559b55b950e98cbf501,,,,MERCEDES CLA250
False,MERCEDES,[],[],,,True,[],,,E200,MERCEDES,,,,E200,,2c0a165681ec280f9f0bf0f32b18564d,,,,MERCEDES E200
False,MERCEDES,[],[],,,True,[],,,E400,MERCEDES,,,,E400,,2d1225535be4ae1bea0c737f3f8b2717,,,,MERCEDES E400
False,MERCEDES,[],[],,,True,[],,,G63,MERCEDES,,,,G63,,55b13c663e841e2559334fb0122198b9,,,,MERCEDES G63
False,MERCEDES,[],[],,,True,[],,,G63,MERCEDES,,,,G63,,eb136448c174d75cb748191ec5ed5efe,,,,MERCEDES G63
False,MERCEDES,[],[],,,True,[],,,G63,MERCEDES,,,,G63,,feb7c5e7162ba0e6cfee3df4ba319fd1,,,,MERCEDES G63
