manufacturer,image_pin_url_3x,model_specifications,fuel_type,short_name,image_map_url_3x,maintenance_mileage,fuel_distance_enabled,registry_model,image_large_url,registry_manufacturer,intermediate_maintenance_mileage,image_map_url_2x,fuel_cap_side,image_small_url,default_tags,image_pin_url_2x,tyres_info,deprecated,first_maintenance_mileage,name,code
AUDI,,[],,A3,,,True,A3,,AUDI,,,,,[],,[],False,,AUDI A3,2a40eddb3a0ea7d714d0c7df4733eee9
AUDI,,[],,A3,,,True,A3,,AUDI,,,,,[],,[],False,,AUDI A3,56f1d590d837c8ede69462737746b888
AUDI,,[],,A3,,,True,A3,,AUDI,,,,,[],,[],False,,AUDI A3,73b63e5f531db13ee36dd455a8426d71
AUDI,,[],,A6,,,True,A6,,AUDI,,,,,[],,[],False,,AUDI A6,a6dbc82a5a2e878b4c16316ccc69616f
AUDI,,[],,A6,,,True,A6,,AUDI,,,,,[],,[],False,,AUDI A6,a9a7b5c987b238d4ff6c0f1a376ca189
AUDI,,[],,Q8,,,True,Q8,,AUDI,,,,,[],,[],False,,AUDI Q8,b23444c5567b59b69c2a93ad1929de4f
Audi,,[],,A3,,,True,A3,,Audi,,,,,[],,[],False,,Audi A3,5e491be391f79292e33d57fb88f6b810
Audi,,[],,A6,,,True,A6,,Audi,,,,,[],,[],False,,Audi A6,7ceb14c03dc1ddcdc89ee4aacf89f6ee
BMW,,[],,318,,,True,318,,BMW,,,,,[],,[],False,,BMW 318,df260f617e27148961ae6e205777d96b
BMW,,[],,318I,,,True,318I,,BMW,,,,,[],,[],False,,BMW 318I,ce9ab987792a941ca1c13e2969d1ca29
BMW,,[],,420,,,True,420,,BMW,,,,,[],,[],False,,BMW 420,b26d738992e4a72c5d1059f903d2cc20
BMW,,[],,430i,,,True,430i,,BMW,,,,,[],,[],False,,BMW 430i,ac771c134f6a75cffd1b5fc1b094913e
BMW,,[],,520,,,True,520,,BMW,,,,,[],,[],False,,BMW 520,a31397550c61a995518dd7bb705f7418
BMW,,[],,730,,,True,730,,BMW,,,,,[],,[],False,,BMW 730,76926635dc463a2de0a12f3e15fe532d
BMW,,[],,X2,,,True,X2,,BMW,,,,,[],,[],False,,BMW X2,f8ac3d56834d15f6bb1494f5a779cd19
BMW,,[],,X2,,,True,X2,,BMW,,,,,[],,[],False,,BMW X2,fb23e850fb298d5cf9938bc1a9c33a32
